# source_model_tree_path=('ltbrTrueMean',), gsim_tree_path=('b1',), investigation_time=50.0, imt="FIV3(0.1)"
lon,lat,depth,poe-0.1,poe-0.1547,poe-0.2394,poe-0.3705,poe-0.5732,poe-0.887,poe-1.3724,poe-2.1236,poe-3.2859,poe-5.0844,poe-7.8672,poe-12.1732,poe-18.8359,poe-29.1452,poe-45.0972,poe-69.7801,poe-107.9726,poe-167.069,poe-258.5103,poe-400.0
-122.48874,37.00537,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999732E-01,9.980097E-01,9.649857E-01,7.994115E-01,4.729712E-01,1.914397E-01,6.853811E-02,1.931110E-02,4.987521E-03,9.995002E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.48874,37.01437,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999706E-01,9.979202E-01,9.655932E-01,8.032851E-01,4.774319E-01,1.869804E-01,5.540593E-02,1.291586E-02,1.998001E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48874,37.02336,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999766E-01,9.982972E-01,9.697573E-01,8.195858E-01,5.130043E-01,2.161205E-01,7.039917E-02,1.488806E-02,4.489890E-03,9.995002E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48873,37.03235,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999785E-01,9.984716E-01,9.713041E-01,8.164008E-01,5.171262E-01,2.274048E-01,7.596008E-02,2.224876E-02,6.478921E-03,1.498876E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48873,37.04135,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999755E-01,9.983226E-01,9.695905E-01,8.111873E-01,4.979221E-01,2.266318E-01,7.688365E-02,2.322602E-02,1.498876E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48873,37.05034,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999788E-01,9.985577E-01,9.716747E-01,8.250054E-01,5.236012E-01,2.262450E-01,7.688365E-02,1.980133E-02,4.489890E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48873,37.05933,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999746E-01,9.982224E-01,9.688674E-01,8.148335E-01,5.161595E-01,2.312581E-01,8.102834E-02,2.273752E-02,7.471945E-03,1.998001E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.48873,37.06833,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999729E-01,9.981406E-01,9.674019E-01,7.999124E-01,5.056443E-01,2.297191E-01,8.010891E-02,2.078103E-02,4.987521E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48873,37.07732,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999738E-01,9.982930E-01,9.700133E-01,8.179548E-01,5.209738E-01,2.335609E-01,8.056875E-02,2.322602E-02,3.493882E-03,9.995002E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.48872,37.08631,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999797E-01,9.984273E-01,9.727036E-01,8.265733E-01,5.302243E-01,2.430817E-01,9.108164E-02,1.832993E-02,5.484903E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48872,37.09531,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999776E-01,9.984484E-01,9.715042E-01,8.271792E-01,5.330346E-01,2.498634E-01,8.698229E-02,2.566491E-02,5.982036E-03,1.998001E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48872,37.10430,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999799E-01,9.985735E-01,9.729887E-01,8.361821E-01,5.372184E-01,2.669197E-01,1.010250E-01,3.149342E-02,8.959621E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48872,37.11329,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999731E-01,9.983385E-01,9.712322E-01,8.225382E-01,5.259773E-01,2.415664E-01,8.561174E-02,2.420231E-02,4.987521E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48872,37.12228,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999771E-01,9.984407E-01,9.728804E-01,8.356078E-01,5.415940E-01,2.584406E-01,9.832398E-02,2.371429E-02,5.982036E-03,9.995002E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.48872,37.13128,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999766E-01,9.983892E-01,9.713184E-01,8.226269E-01,5.402167E-01,2.562126E-01,8.971724E-02,2.809771E-02,3.992011E-03,1.998001E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48872,37.14027,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999745E-01,9.984218E-01,9.723741E-01,8.326219E-01,5.418231E-01,2.654521E-01,1.014743E-01,2.420231E-02,5.484903E-03,1.998001E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48872,37.14927,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999827E-01,9.987367E-01,9.744086E-01,8.398269E-01,5.553643E-01,2.781948E-01,1.037178E-01,3.052443E-02,3.992011E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48872,37.15826,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999775E-01,9.985011E-01,9.736029E-01,8.404663E-01,5.493210E-01,2.709405E-01,9.606697E-02,2.809771E-02,4.489890E-03,1.498876E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48872,37.16725,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999748E-01,9.984523E-01,9.730157E-01,8.362640E-01,5.526885E-01,2.661862E-01,1.010250E-01,2.517762E-02,4.489890E-03,1.498876E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48872,37.17624,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999793E-01,9.986335E-01,9.744214E-01,8.378121E-01,5.641687E-01,2.814356E-01,1.227822E-01,3.728706E-02,8.959621E-03,9.995002E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48871,37.18524,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999789E-01,9.985784E-01,9.752146E-01,8.407850E-01,5.484188E-01,2.702111E-01,1.072958E-01,3.246144E-02,4.489890E-03,1.498876E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48871,37.19423,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999756E-01,9.984375E-01,9.743060E-01,8.330398E-01,5.508956E-01,2.753018E-01,1.126360E-01,3.535971E-02,1.143413E-02,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48871,37.20322,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999785E-01,9.986184E-01,9.756446E-01,8.464916E-01,5.823034E-01,3.002275E-01,1.219046E-01,3.197755E-02,7.471945E-03,1.498876E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.48871,37.21222,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999738E-01,9.984187E-01,9.738001E-01,8.426842E-01,5.727987E-01,2.917796E-01,1.175031E-01,4.256745E-02,7.968085E-03,1.498876E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.48871,37.22121,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999754E-01,9.985461E-01,9.746125E-01,8.437034E-01,5.689366E-01,2.956642E-01,1.157363E-01,3.921056E-02,1.242220E-02,2.995505E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48871,37.23020,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999774E-01,9.985026E-01,9.749780E-01,8.438597E-01,5.639507E-01,2.921337E-01,1.267208E-01,4.591260E-02,9.950167E-03,2.496878E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.48870,37.23920,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999782E-01,9.985919E-01,9.746886E-01,8.464916E-01,5.793693E-01,3.023237E-01,1.275937E-01,4.256745E-02,1.143413E-02,9.995002E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48870,37.24819,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999796E-01,9.986632E-01,9.767279E-01,8.500570E-01,5.899597E-01,3.175049E-01,1.267208E-01,4.256745E-02,1.192829E-02,2.995505E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48870,37.25718,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999799E-01,9.986838E-01,9.766580E-01,8.572271E-01,5.936336E-01,3.212484E-01,1.354101E-01,4.543544E-02,1.390246E-02,2.496878E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48870,37.26618,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999791E-01,9.987592E-01,9.772571E-01,8.515490E-01,5.915967E-01,3.175049E-01,1.384309E-01,4.781887E-02,8.463977E-03,1.998001E-03,4.998750E-04,4.998750E-04,0.000000E+00,0.000000E+00
-122.48870,37.27517,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999747E-01,9.985388E-01,9.752022E-01,8.482468E-01,5.841788E-01,3.198895E-01,1.487079E-01,4.543544E-02,9.950167E-03,2.496878E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48869,37.28416,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999793E-01,9.986532E-01,9.771773E-01,8.565115E-01,6.050515E-01,3.350211E-01,1.482822E-01,3.921056E-02,1.192829E-02,1.498876E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.48869,37.29316,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999694E-01,9.983268E-01,9.728261E-01,8.378121E-01,5.665592E-01,3.089202E-01,1.332459E-01,4.543544E-02,1.093972E-02,1.998001E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48869,37.30215,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999754E-01,9.985656E-01,9.751152E-01,8.487771E-01,5.831380E-01,3.096110E-01,1.306418E-01,5.256789E-02,1.143413E-02,1.998001E-03,9.995002E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.48869,37.31114,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999784E-01,9.986212E-01,9.759831E-01,8.549969E-01,5.986815E-01,3.300150E-01,1.405821E-01,5.351485E-02,1.093972E-02,1.998001E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.48869,37.32014,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999775E-01,9.986184E-01,9.769364E-01,8.559363E-01,5.950534E-01,3.273297E-01,1.487079E-01,5.587811E-02,1.291586E-02,1.498876E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00
