# source_model_tree_path=('ltbrTrueMean',), gsim_tree_path=('b1',), investigation_time=50.0, imt="FIV3(3.0)"
lon,lat,depth,poe-0.23,poe-0.2921,poe-0.3708,poe-0.4709,poe-0.598,poe-0.7593,poe-0.9641,poe-1.2243,poe-1.5546,poe-1.974,poe-2.5066,poe-3.1828,poe-4.0415,poe-5.1319,poe-6.5165,poe-8.2747,poe-10.5072,poe-13.342,poe-16.9417,poe-21.5126,poe-27.3166,poe-34.6866,poe-44.045,poe-55.9283,poe-71.0177,poe-90.1782,poe-114.5082,poe-145.4024,poe-184.6318,poe-234.4452,poe-297.6983,poe-378.017,poe-480.0055,poe-609.5105,poe-773.9558,poe-982.7682,poe-1247.918,poe-1584.6049,poe-2012.1296,poe-2555.0
-122.64369,37.01075,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999995E-01,9.999893E-01,9.998707E-01,9.990184E-01,9.948416E-01,9.799770E-01,9.401551E-01,8.580457E-01,7.290985E-01,5.673711E-01,4.079268E-01,2.771113E-01,1.677522E-01,9.595397E-02,5.019635E-02,2.212654E-02,9.578828E-03,4.489890E-03,1.998001E-03,1.249219E-03,3.749297E-04,1.249922E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64365,37.05571,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999996E-01,9.999909E-01,9.998875E-01,9.991320E-01,9.954443E-01,9.817666E-01,9.446180E-01,8.674605E-01,7.430503E-01,5.890362E-01,4.303596E-01,2.900069E-01,1.792199E-01,1.038299E-01,5.658593E-02,2.991831E-02,1.328595E-02,5.360581E-03,2.372182E-03,7.497188E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64362,37.10068,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999995E-01,9.999899E-01,9.998800E-01,9.991228E-01,9.953853E-01,9.819570E-01,9.453196E-01,8.693195E-01,7.500827E-01,5.986815E-01,4.462960E-01,3.051088E-01,1.913386E-01,1.142982E-01,6.164318E-02,3.040323E-02,1.525741E-02,6.230509E-03,2.621558E-03,9.995002E-04,2.499688E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64359,37.14565,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999995E-01,9.999895E-01,9.998804E-01,9.991143E-01,9.953714E-01,9.818212E-01,9.457485E-01,8.717790E-01,7.503948E-01,6.007829E-01,4.412203E-01,3.050219E-01,1.966783E-01,1.191562E-01,6.830522E-02,3.499790E-02,1.562662E-02,6.727270E-03,3.244724E-03,7.497188E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64355,37.19061,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999995E-01,9.999910E-01,9.998935E-01,9.991961E-01,9.957507E-01,9.831769E-01,9.495930E-01,8.782609E-01,7.669495E-01,6.234201E-01,4.658748E-01,3.300988E-01,2.222693E-01,1.387539E-01,7.907345E-02,4.148973E-02,1.943368E-02,7.471945E-03,2.995505E-03,1.249219E-03,4.998750E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64352,37.23558,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999995E-01,9.999903E-01,9.998934E-01,9.992034E-01,9.957021E-01,9.831831E-01,9.494668E-01,8.800734E-01,7.688065E-01,6.273535E-01,4.767783E-01,3.415555E-01,2.305852E-01,1.433707E-01,8.835079E-02,4.781887E-02,2.444623E-02,9.950167E-03,3.742978E-03,1.748470E-03,7.497188E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64349,37.28054,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999995E-01,9.999908E-01,9.998959E-01,9.992267E-01,9.959372E-01,9.843866E-01,9.522009E-01,8.840968E-01,7.763672E-01,6.354166E-01,4.811420E-01,3.488401E-01,2.396679E-01,1.491335E-01,9.085438E-02,5.055246E-02,2.432428E-02,1.131055E-02,4.240981E-03,2.372182E-03,1.124367E-03,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64346,37.32551,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999995E-01,9.999903E-01,9.998907E-01,9.992211E-01,9.959741E-01,9.845805E-01,9.530654E-01,8.896806E-01,7.835455E-01,6.435727E-01,4.989253E-01,3.626906E-01,2.522974E-01,1.621155E-01,9.787302E-02,5.693965E-02,3.137235E-02,1.476491E-02,6.354723E-03,2.496878E-03,1.124367E-03,2.499688E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64342,37.37048,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999993E-01,9.999875E-01,9.998702E-01,9.991074E-01,9.956306E-01,9.833609E-01,9.516179E-01,8.852644E-01,7.775939E-01,6.420099E-01,4.950268E-01,3.676897E-01,2.555615E-01,1.742804E-01,1.118592E-01,6.457097E-02,3.548028E-02,1.587268E-02,6.603103E-03,2.995505E-03,1.124367E-03,3.749297E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64339,37.41544,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999995E-01,9.999898E-01,9.998907E-01,9.992504E-01,9.962463E-01,9.855310E-01,9.567497E-01,8.955973E-01,7.959469E-01,6.650001E-01,5.226474E-01,3.898955E-01,2.809864E-01,1.935594E-01,1.262841E-01,7.584456E-02,3.800882E-02,1.980133E-02,1.007392E-02,4.365444E-03,1.498876E-03,4.998750E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64335,37.46041,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999994E-01,9.999892E-01,9.998887E-01,9.992293E-01,9.961838E-01,9.855238E-01,9.566143E-01,8.969458E-01,7.963546E-01,6.673369E-01,5.284004E-01,4.018268E-01,2.944305E-01,2.102193E-01,1.350858E-01,8.526877E-02,5.007762E-02,2.724692E-02,1.229874E-02,5.982036E-03,2.621558E-03,8.746173E-04,4.998750E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64332,37.50537,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999994E-01,9.999894E-01,9.998928E-01,9.992726E-01,9.964777E-01,9.867134E-01,9.603980E-01,9.049760E-01,8.126918E-01,6.872575E-01,5.456443E-01,4.193604E-01,3.121091E-01,2.262450E-01,1.548575E-01,1.034937E-01,6.258107E-02,3.644432E-02,1.955625E-02,8.092081E-03,3.618438E-03,1.498876E-03,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64328,37.55034,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999993E-01,9.999890E-01,9.998906E-01,9.992724E-01,9.964777E-01,9.867714E-01,9.606299E-01,9.050828E-01,8.105490E-01,6.861609E-01,5.519050E-01,4.256406E-01,3.173343E-01,2.318344E-01,1.647298E-01,1.121922E-01,7.016674E-02,4.196886E-02,2.200430E-02,1.093972E-02,4.240981E-03,1.498876E-03,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64325,37.59531,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999993E-01,9.999883E-01,9.998886E-01,9.992632E-01,9.964445E-01,9.870009E-01,9.609973E-01,9.068576E-01,8.187041E-01,6.968796E-01,5.658000E-01,4.410806E-01,3.408143E-01,2.559336E-01,1.887062E-01,1.382155E-01,9.289766E-02,5.988211E-02,3.306596E-02,1.501119E-02,6.975557E-03,3.493882E-03,1.623680E-03,3.749297E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
