# source_model_tree_path=('ltbrTrueMean',), gsim_tree_path=('b1',), investigation_time=50.0, imt="FIV3(0.6)"
lon,lat,depth,poe-0.18,poe-0.225,poe-0.2812,poe-0.3515,poe-0.4393,poe-0.5491,poe-0.6863,poe-0.8578,poe-1.0722,poe-1.3402,poe-1.6751,poe-2.0937,poe-2.6169,poe-3.2708,poe-4.0882,poe-5.1098,poe-6.3868,poe-7.9829,poe-9.9778,poe-12.4713,poe-15.5878,poe-19.4833,poe-24.3522,poe-30.4378,poe-38.0442,poe-47.5515,poe-59.4347,poe-74.2875,poe-92.852,poe-116.0558,poe-145.0583,poe-181.3086,poe-226.6178,poe-283.2499,poe-354.0343,poe-442.5079,poe-553.0912,poe-691.3093,poe-864.0683,poe-1080.0
-122.64369,37.01075,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999954E-01,9.999449E-01,9.995506E-01,9.974455E-01,9.890742E-01,9.633375E-01,9.044160E-01,7.932769E-01,6.405751E-01,4.719160E-01,3.111626E-01,1.908330E-01,1.086339E-01,5.941194E-02,3.040323E-02,1.390246E-02,6.851421E-03,4.116504E-03,2.372182E-03,1.498876E-03,7.497188E-04,3.749297E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64365,37.05571,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999953E-01,9.999428E-01,9.995374E-01,9.973647E-01,9.886553E-01,9.628113E-01,9.020208E-01,7.952058E-01,6.474279E-01,4.805579E-01,3.207391E-01,2.002851E-01,1.160679E-01,5.988211E-02,3.149342E-02,1.722492E-02,8.711830E-03,4.365444E-03,2.122744E-03,8.746173E-04,4.998750E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64362,37.10068,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999954E-01,9.999460E-01,9.995750E-01,9.976271E-01,9.897758E-01,9.664049E-01,9.112672E-01,8.099323E-01,6.664625E-01,4.924322E-01,3.329398E-01,2.070539E-01,1.204765E-01,6.538911E-02,3.270330E-02,1.476491E-02,6.975557E-03,3.244724E-03,2.122744E-03,1.249219E-03,9.995002E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64359,37.14565,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999958E-01,9.999486E-01,9.995980E-01,9.977320E-01,9.903676E-01,9.678028E-01,9.137496E-01,8.150186E-01,6.764818E-01,5.150090E-01,3.566877E-01,2.236292E-01,1.300982E-01,7.109611E-02,3.511852E-02,1.894328E-02,9.083494E-03,4.863136E-03,2.372182E-03,1.124367E-03,7.497188E-04,4.998750E-04,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00
-122.64355,37.19061,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999956E-01,9.999474E-01,9.995964E-01,9.977447E-01,9.903893E-01,9.685663E-01,9.175345E-01,8.203734E-01,6.804208E-01,5.206144E-01,3.667405E-01,2.395729E-01,1.454028E-01,8.343748E-02,4.424149E-02,2.127052E-02,1.056875E-02,4.489890E-03,2.122744E-03,9.995002E-04,4.998750E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64352,37.23558,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999961E-01,9.999534E-01,9.996421E-01,9.979784E-01,9.913256E-01,9.710736E-01,9.217816E-01,8.303682E-01,6.960828E-01,5.382007E-01,3.880624E-01,2.569560E-01,1.569677E-01,9.017227E-02,4.877058E-02,2.151517E-02,1.019765E-02,4.863136E-03,1.998001E-03,1.249219E-03,6.248047E-04,3.749297E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64349,37.28054,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999997E-01,9.999952E-01,9.999489E-01,9.996198E-01,9.978920E-01,9.910770E-01,9.708923E-01,9.228112E-01,8.330398E-01,7.012431E-01,5.437663E-01,3.898192E-01,2.625080E-01,1.657732E-01,9.922520E-02,5.233100E-02,2.712532E-02,1.439538E-02,7.844074E-03,3.618438E-03,2.247471E-03,1.249219E-03,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64346,37.32551,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999997E-01,9.999951E-01,9.999453E-01,9.996008E-01,9.978872E-01,9.910614E-01,9.703376E-01,9.222301E-01,8.334567E-01,7.086558E-01,5.560862E-01,4.029474E-01,2.707583E-01,1.666070E-01,9.776025E-02,5.375144E-02,2.979705E-02,1.501119E-02,6.851421E-03,3.742978E-03,2.372182E-03,8.746173E-04,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.64342,37.37048,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999997E-01,9.999952E-01,9.999489E-01,9.996271E-01,9.980055E-01,9.916187E-01,9.721765E-01,9.269236E-01,8.423693E-01,7.182542E-01,5.678035E-01,4.200857E-01,2.950476E-01,1.908330E-01,1.159574E-01,6.608981E-02,3.439458E-02,1.648757E-02,7.347872E-03,2.621558E-03,8.746173E-04,6.248047E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64339,37.41544,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999997E-01,9.999949E-01,9.999456E-01,9.996051E-01,9.979535E-01,9.918664E-01,9.728295E-01,9.285138E-01,8.465875E-01,7.250387E-01,5.759907E-01,4.267165E-01,3.004024E-01,1.966783E-01,1.236590E-01,7.214054E-02,4.089047E-02,1.918851E-02,8.340027E-03,3.992011E-03,1.374055E-03,4.998750E-04,2.499688E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00
