# source_model_tree_path=('ltbrTrueMean',), gsim_tree_path=('b1',), investigation_time=50.0
lon,lat,FIV3(0.1)-0.02,FIV3(0.1)-0.1,FIV3(0.2)-0.02,FIV3(0.2)-0.1,FIV3(0.3)-0.02,FIV3(0.3)-0.1,FIV3(0.4)-0.02,FIV3(0.4)-0.1,FIV3(0.5)-0.02,FIV3(0.5)-0.1,FIV3(0.6)-0.02,FIV3(0.6)-0.1,FIV3(0.7)-0.02,FIV3(0.7)-0.1,FIV3(0.8)-0.02,FIV3(0.8)-0.1,FIV3(0.9)-0.02,FIV3(0.9)-0.1,FIV3(1.0)-0.02,FIV3(1.0)-0.1,FIV3(1.1)-0.02,FIV3(1.1)-0.1,FIV3(1.2)-0.02,FIV3(1.2)-0.1,FIV3(1.3)-0.02,FIV3(1.3)-0.1,FIV3(1.4)-0.02,FIV3(1.4)-0.1,FIV3(1.5)-0.02,FIV3(1.5)-0.1,FIV3(1.6)-0.02,FIV3(1.6)-0.1,FIV3(1.7)-0.02,FIV3(1.7)-0.1,FIV3(1.8)-0.02,FIV3(1.8)-0.1,FIV3(1.9)-0.02,FIV3(1.9)-0.1,FIV3(2.0)-0.02,FIV3(2.0)-0.1,FIV3(2.1)-0.02,FIV3(2.1)-0.1,FIV3(2.2)-0.02,FIV3(2.2)-0.1,FIV3(2.3)-0.02,FIV3(2.3)-0.1,FIV3(2.4)-0.02,FIV3(2.4)-0.1,FIV3(2.5)-0.02,FIV3(2.5)-0.1,FIV3(2.6)-0.02,FIV3(2.6)-0.1,FIV3(2.7)-0.02,FIV3(2.7)-0.1,FIV3(2.8)-0.02,FIV3(2.8)-0.1,FIV3(2.9)-0.02,FIV3(2.9)-0.1,FIV3(3.0)-0.02,FIV3(3.0)-0.1
-122.64369,37.01075,2.352722E+01,1.411154E+01,4.145330E+01,2.558987E+01,6.382744E+01,3.769583E+01,7.819762E+01,4.576140E+01,9.005757E+01,5.361451E+01,1.046268E+02,6.128211E+01,1.120990E+02,6.681934E+01,1.156568E+02,6.929522E+01,1.289867E+02,7.243687E+01,1.246412E+02,7.594581E+01,1.376810E+02,7.796982E+01,1.435484E+02,8.163688E+01,1.446660E+02,8.505730E+01,1.506398E+02,8.643185E+01,1.514934E+02,8.741099E+01,1.420314E+02,8.418313E+01,1.567870E+02,8.837581E+01,1.562637E+02,9.170813E+01,1.486034E+02,8.763769E+01,1.630794E+02,8.967084E+01,1.612417E+02,9.151322E+01,1.590098E+02,8.911540E+01,1.543131E+02,9.001643E+01,1.576690E+02,8.861219E+01,1.591827E+02,9.243181E+01,1.639749E+02,9.159262E+01,1.650783E+02,9.088808E+01,1.631456E+02,9.062181E+01,1.594777E+02,9.207219E+01,1.496551E+02,8.859963E+01
-122.64366,37.05571,2.447202E+01,1.468361E+01,4.457280E+01,2.660276E+01,6.333716E+01,3.807585E+01,7.705849E+01,4.667340E+01,9.108936E+01,5.434725E+01,1.098211E+02,6.249594E+01,1.189666E+02,6.926884E+01,1.215373E+02,7.005803E+01,1.248548E+02,7.418938E+01,1.231041E+02,7.512302E+01,1.389930E+02,7.935547E+01,1.463371E+02,8.380429E+01,1.465197E+02,8.596266E+01,1.596321E+02,8.912426E+01,1.587507E+02,8.905935E+01,1.597764E+02,9.052175E+01,1.575529E+02,8.848248E+01,1.662998E+02,9.122828E+01,1.635052E+02,8.945022E+01,1.610790E+02,9.201708E+01,1.658236E+02,9.355273E+01,1.686556E+02,9.106524E+01,1.700103E+02,9.540294E+01,1.634260E+02,9.274788E+01,1.737894E+02,9.492371E+01,1.622314E+02,9.359069E+01,1.704780E+02,9.347638E+01,1.703854E+02,9.336755E+01,1.611082E+02,9.235400E+01,1.636957E+02,9.152180E+01
-122.64362,37.10068,2.447240E+01,1.471065E+01,4.552594E+01,2.732019E+01,6.556859E+01,3.879964E+01,8.055956E+01,4.803421E+01,9.762135E+01,5.883698E+01,1.065851E+02,6.361671E+01,1.165764E+02,7.009610E+01,1.267047E+02,7.459421E+01,1.261001E+02,7.552303E+01,1.405534E+02,8.068619E+01,1.413112E+02,8.271082E+01,1.500068E+02,8.607698E+01,1.592255E+02,9.079682E+01,1.552723E+02,9.023148E+01,1.677432E+02,9.150052E+01,1.655953E+02,9.075015E+01,1.629025E+02,9.291269E+01,1.717790E+02,9.445254E+01,1.622194E+02,9.324987E+01,1.755860E+02,9.647820E+01,1.685318E+02,9.496856E+01,1.688134E+02,9.715587E+01,1.607498E+02,9.421417E+01,1.677560E+02,9.817597E+01,1.705245E+02,9.586706E+01,1.665251E+02,9.518681E+01,1.718019E+02,9.687482E+01,1.670826E+02,9.614143E+01,1.701030E+02,9.617310E+01,1.681062E+02,9.496292E+01
-122.64359,37.14564,2.578729E+01,1.519628E+01,4.712015E+01,2.857817E+01,6.861450E+01,4.090712E+01,8.548141E+01,4.915479E+01,9.552440E+01,5.760518E+01,1.138014E+02,6.549738E+01,1.282932E+02,7.271476E+01,1.251852E+02,7.316418E+01,1.353824E+02,7.755565E+01,1.436806E+02,8.373268E+01,1.481935E+02,8.440789E+01,1.562389E+02,8.867276E+01,1.632663E+02,9.295175E+01,1.702884E+02,9.470262E+01,1.685442E+02,9.533954E+01,1.617341E+02,9.333967E+01,1.731594E+02,9.531790E+01,1.712079E+02,9.692864E+01,1.665076E+02,9.639998E+01,1.746436E+02,9.709292E+01,1.799998E+02,9.795660E+01,1.736743E+02,9.636854E+01,1.851784E+02,1.008947E+02,1.801529E+02,9.928097E+01,1.811824E+02,1.007272E+02,1.768611E+02,1.006917E+02,1.915499E+02,1.054407E+02,1.876668E+02,1.016734E+02,1.738904E+02,9.650637E+01,1.716170E+02,9.722435E+01
-122.64355,37.19061,2.673810E+01,1.591323E+01,4.831554E+01,2.882074E+01,7.145075E+01,4.222048E+01,8.484806E+01,5.016494E+01,1.019993E+02,5.957650E+01,1.183580E+02,6.907688E+01,1.281453E+02,7.305931E+01,1.263767E+02,7.618011E+01,1.403406E+02,8.099944E+01,1.482186E+02,8.378912E+01,1.535199E+02,8.861386E+01,1.616401E+02,9.252873E+01,1.675902E+02,9.332316E+01,1.722198E+02,9.665435E+01,1.824284E+02,9.920983E+01,1.680932E+02,9.642762E+01,1.767122E+02,9.780484E+01,1.839877E+02,1.032743E+02,1.824659E+02,1.008517E+02,1.816539E+02,1.011478E+02,1.880388E+02,1.012142E+02,1.842467E+02,1.020257E+02,1.846133E+02,1.041131E+02,1.871196E+02,1.041355E+02,1.861890E+02,1.034416E+02,1.846103E+02,1.031981E+02,1.980763E+02,1.072647E+02,1.873305E+02,1.032294E+02,1.809264E+02,1.025158E+02,1.829691E+02,1.036390E+02
-122.64352,37.23558,2.808565E+01,1.639473E+01,5.082297E+01,2.957786E+01,7.309976E+01,4.330762E+01,8.760480E+01,5.045635E+01,1.057046E+02,6.185182E+01,1.186158E+02,7.125848E+01,1.276761E+02,7.596999E+01,1.416703E+02,8.036279E+01,1.446728E+02,8.136641E+01,1.530535E+02,8.853445E+01,1.607044E+02,8.984722E+01,1.679039E+02,9.480396E+01,1.721240E+02,9.744508E+01,1.795903E+02,1.016482E+02,1.860155E+02,1.002993E+02,1.830303E+02,1.024918E+02,1.861837E+02,1.019508E+02,1.896299E+02,1.061198E+02,1.897600E+02,1.042302E+02,1.890545E+02,1.048338E+02,2.004343E+02,1.108092E+02,1.927521E+02,1.050615E+02,2.010342E+02,1.091491E+02,1.958630E+02,1.082745E+02,1.885123E+02,1.071795E+02,1.894757E+02,1.051612E+02,2.049076E+02,1.116133E+02,1.979916E+02,1.072137E+02,1.913509E+02,1.045831E+02,1.947480E+02,1.077203E+02
-122.64349,37.28054,2.774144E+01,1.680238E+01,5.161328E+01,3.039555E+01,7.609230E+01,4.449804E+01,9.289012E+01,5.446050E+01,1.101353E+02,6.376989E+01,1.292001E+02,7.403679E+01,1.445961E+02,7.873478E+01,1.481097E+02,8.175383E+01,1.485555E+02,8.670270E+01,1.621433E+02,9.042364E+01,1.675261E+02,9.347886E+01,1.712508E+02,9.737382E+01,1.833318E+02,1.027648E+02,1.947385E+02,1.058902E+02,1.919606E+02,1.046388E+02,1.873264E+02,1.048907E+02,1.916598E+02,1.057034E+02,2.052274E+02,1.080314E+02,2.020063E+02,1.075469E+02,2.004319E+02,1.117290E+02,2.079044E+02,1.116826E+02,2.029207E+02,1.103620E+02,2.126080E+02,1.105936E+02,2.100078E+02,1.135600E+02,2.064690E+02,1.125236E+02,1.988717E+02,1.115937E+02,2.114961E+02,1.150406E+02,2.102483E+02,1.115744E+02,2.061818E+02,1.128206E+02,1.962564E+02,1.093353E+02
-122.64345,37.32551,2.883946E+01,1.724092E+01,5.480148E+01,3.221943E+01,7.851831E+01,4.550541E+01,9.781091E+01,5.641365E+01,1.157114E+02,6.683514E+01,1.321293E+02,7.358673E+01,1.409008E+02,8.173074E+01,1.529178E+02,8.549207E+01,1.575390E+02,8.967003E+01,1.581117E+02,9.242061E+01,1.695304E+02,9.558415E+01,1.924419E+02,1.006885E+02,1.959111E+02,1.078577E+02,2.048203E+02,1.112951E+02,1.940056E+02,1.114749E+02,2.054696E+02,1.103724E+02,2.084578E+02,1.085604E+02,2.133728E+02,1.126250E+02,2.029309E+02,1.101757E+02,2.108621E+02,1.153946E+02,2.162681E+02,1.175380E+02,2.141626E+02,1.146992E+02,2.147308E+02,1.152982E+02,2.125725E+02,1.140418E+02,2.139023E+02,1.163377E+02,2.119735E+02,1.163123E+02,2.152295E+02,1.167795E+02,2.221787E+02,1.168348E+02,2.123077E+02,1.163890E+02,2.129467E+02,1.133489E+02
-122.64342,37.37047,3.147388E+01,1.810805E+01,5.604875E+01,3.301333E+01,8.099680E+01,4.645435E+01,1.031342E+02,5.947238E+01,1.196968E+02,6.740522E+01,1.368038E+02,7.878201E+01,1.466961E+02,8.476212E+01,1.496443E+02,8.791424E+01,1.603203E+02,9.275708E+01,1.758222E+02,9.646471E+01,1.786501E+02,1.008197E+02,1.955015E+02,1.035248E+02,1.960973E+02,1.094657E+02,2.025325E+02,1.121962E+02,2.120154E+02,1.148710E+02,2.099493E+02,1.163486E+02,2.088980E+02,1.158479E+02,2.340135E+02,1.219156E+02,2.333578E+02,1.194606E+02,2.263358E+02,1.223267E+02,2.341964E+02,1.240817E+02,2.253640E+02,1.218431E+02,2.268772E+02,1.198070E+02,2.331306E+02,1.194973E+02,2.288408E+02,1.218375E+02,2.389254E+02,1.237981E+02,2.419875E+02,1.226223E+02,2.364086E+02,1.226249E+02,2.211978E+02,1.210488E+02,2.188940E+02,1.202249E+02
-122.64339,37.41544,3.249557E+01,1.913207E+01,6.013417E+01,3.435591E+01,8.339210E+01,5.031709E+01,1.068206E+02,6.141400E+01,1.278935E+02,7.282398E+01,1.432976E+02,8.111281E+01,1.621184E+02,8.930816E+01,1.616806E+02,9.204115E+01,1.718925E+02,9.581658E+01,1.887856E+02,1.028130E+02,1.918752E+02,1.038039E+02,2.054740E+02,1.101876E+02,2.131572E+02,1.149220E+02,2.304145E+02,1.190999E+02,2.266638E+02,1.228707E+02,2.207031E+02,1.210257E+02,2.280710E+02,1.228157E+02,2.404870E+02,1.264456E+02,2.374005E+02,1.265379E+02,2.458581E+02,1.252522E+02,2.465489E+02,1.282233E+02,2.356968E+02,1.277160E+02,2.481911E+02,1.294694E+02,2.289145E+02,1.248367E+02,2.350764E+02,1.288797E+02,2.407804E+02,1.308085E+02,2.531988E+02,1.351711E+02,2.473857E+02,1.291904E+02,2.438734E+02,1.286946E+02,2.335894E+02,1.277372E+02
