# source_model_tree_path=('ltbrTrueMean',), gsim_tree_path=('b1',), investigation_time=50.0, imt="FIV3(1.0)"
lon,lat,depth,poe-0.1,poe-0.1547,poe-0.2394,poe-0.3705,poe-0.5732,poe-0.887,poe-1.3724,poe-2.1236,poe-3.2859,poe-5.0844,poe-7.8672,poe-12.1732,poe-18.8359,poe-29.1452,poe-45.0972,poe-69.7801,poe-107.9726,poe-167.069,poe-258.5103,poe-400.0
-122.48874,37.00537,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999944E-01,9.995478E-01,9.901865E-01,9.184876E-01,7.035865E-01,3.919511E-01,1.643120E-01,5.398798E-02,1.291586E-02,2.995505E-03,4.998750E-04
-122.48874,37.01437,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999941E-01,9.995348E-01,9.900382E-01,9.183652E-01,7.001581E-01,3.802877E-01,1.567569E-01,5.729323E-02,1.390246E-02,3.493882E-03,9.995002E-04
-122.48874,37.02336,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999939E-01,9.995170E-01,9.894855E-01,9.167994E-01,6.947121E-01,3.958906E-01,1.684801E-01,5.351485E-02,1.390246E-02,2.995505E-03,0.000000E+00
-122.48873,37.03235,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999929E-01,9.994377E-01,9.887738E-01,9.132305E-01,6.879213E-01,3.916470E-01,1.663987E-01,5.304149E-02,1.488806E-02,3.493882E-03,4.998750E-04
-122.48873,37.04135,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999944E-01,9.995256E-01,9.901915E-01,9.222301E-01,7.167711E-01,4.192878E-01,1.865737E-01,5.776447E-02,1.488806E-02,1.998001E-03,0.000000E+00
-122.48873,37.05034,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999952E-01,9.995738E-01,9.910803E-01,9.265022E-01,7.229341E-01,4.160851E-01,1.730409E-01,5.823547E-02,1.340928E-02,1.498876E-03,4.998750E-04
-122.48873,37.05933,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999946E-01,9.995313E-01,9.902403E-01,9.236174E-01,7.166295E-01,4.099217E-01,1.759302E-01,6.105652E-02,1.439538E-02,2.995505E-03,1.498876E-03
-122.48873,37.06833,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999951E-01,9.995595E-01,9.903327E-01,9.236174E-01,7.204293E-01,4.172517E-01,1.845376E-01,6.713986E-02,2.273752E-02,4.489890E-03,1.498876E-03
-122.48873,37.07732,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999956E-01,9.996073E-01,9.913396E-01,9.288881E-01,7.308537E-01,4.353222E-01,2.050690E-01,7.642198E-02,2.175977E-02,4.489890E-03,9.995002E-04
-122.48872,37.08631,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999948E-01,9.995778E-01,9.913006E-01,9.271607E-01,7.271956E-01,4.398216E-01,1.869804E-01,6.527228E-02,1.980133E-02,2.496878E-03,0.000000E+00
-122.48872,37.09531,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999942E-01,9.995478E-01,9.903375E-01,9.219183E-01,7.101814E-01,4.175431E-01,1.906307E-01,6.105652E-02,1.832993E-02,2.995505E-03,9.995002E-04
-122.48872,37.10430,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999948E-01,9.995490E-01,9.904384E-01,9.253168E-01,7.256910E-01,4.270747E-01,1.998851E-01,7.086386E-02,1.980133E-02,4.987521E-03,9.995002E-04
-122.48872,37.11329,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999954E-01,9.996287E-01,9.914814E-01,9.312652E-01,7.337980E-01,4.361686E-01,2.062605E-01,7.549794E-02,2.127052E-02,3.992011E-03,9.995002E-04
-122.48872,37.12228,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999942E-01,9.994948E-01,9.905572E-01,9.241881E-01,7.186062E-01,4.239150E-01,1.982833E-01,7.411014E-02,2.371429E-02,2.995505E-03,4.998750E-04
-122.48872,37.13128,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999961E-01,9.996287E-01,9.918440E-01,9.374945E-01,7.470340E-01,4.566491E-01,2.165124E-01,7.642198E-02,2.517762E-02,6.975557E-03,1.498876E-03
-122.48872,37.14027,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999934E-01,9.995211E-01,9.901915E-01,9.218402E-01,7.117710E-01,4.375764E-01,2.117973E-01,7.688365E-02,1.931110E-02,2.995505E-03,4.998750E-04
-122.48872,37.14927,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999954E-01,9.996283E-01,9.919855E-01,9.340593E-01,7.382852E-01,4.453955E-01,2.153362E-01,8.789485E-02,2.566491E-02,5.484903E-03,1.498876E-03
-122.48872,37.15826,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999962E-01,9.996608E-01,9.924371E-01,9.372753E-01,7.624792E-01,4.797782E-01,2.320265E-01,9.425730E-02,2.712532E-02,5.484903E-03,1.998001E-03
-122.48872,37.16725,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999948E-01,9.995832E-01,9.909772E-01,9.278855E-01,7.293693E-01,4.459498E-01,2.157285E-01,8.332291E-02,2.469009E-02,4.987521E-03,1.498876E-03
-122.48872,37.17624,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999955E-01,9.996257E-01,9.916793E-01,9.334632E-01,7.479178E-01,4.585475E-01,2.223665E-01,8.971724E-02,2.858354E-02,5.982036E-03,0.000000E+00
-122.48871,37.18524,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999948E-01,9.995824E-01,9.909862E-01,9.277411E-01,7.347281E-01,4.473332E-01,2.289484E-01,9.062707E-02,2.761163E-02,9.455018E-03,2.496878E-03
-122.48871,37.19423,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999960E-01,9.996443E-01,9.924785E-01,9.383634E-01,7.622415E-01,4.800382E-01,2.347097E-01,9.199011E-02,3.052443E-02,6.478921E-03,9.995002E-04
-122.48871,37.20322,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999945E-01,9.995947E-01,9.916751E-01,9.314026E-01,7.480438E-01,4.660751E-01,2.293338E-01,9.380431E-02,3.052443E-02,7.968085E-03,1.498876E-03
-122.48871,37.21222,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999952E-01,9.996091E-01,9.920969E-01,9.360082E-01,7.481697E-01,4.734979E-01,2.415664E-01,1.028211E-01,3.246144E-02,9.455018E-03,1.498876E-03
-122.48871,37.22121,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999951E-01,9.996168E-01,9.920533E-01,9.357517E-01,7.559788E-01,4.921149E-01,2.513622E-01,1.072958E-01,3.584190E-02,1.093972E-02,1.998001E-03
-122.48871,37.23020,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999946E-01,9.996127E-01,9.918440E-01,9.344538E-01,7.563445E-01,4.834070E-01,2.389072E-01,1.001255E-01,3.391166E-02,6.975557E-03,1.998001E-03
-122.48870,37.23920,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999934E-01,9.995568E-01,9.913699E-01,9.304702E-01,7.420527E-01,4.596294E-01,2.400480E-01,1.037178E-01,3.584190E-02,1.143413E-02,2.496878E-03
-122.48870,37.24819,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999948E-01,9.996166E-01,9.919453E-01,9.358801E-01,7.489241E-01,4.774319E-01,2.445941E-01,1.028211E-01,3.632386E-02,8.463977E-03,1.998001E-03
-122.48870,37.25718,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999947E-01,9.996020E-01,9.921638E-01,9.361041E-01,7.534030E-01,4.655409E-01,2.506132E-01,1.135229E-01,4.208861E-02,1.143413E-02,2.995505E-03
-122.48870,37.26618,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999948E-01,9.996166E-01,9.921989E-01,9.387628E-01,7.618846E-01,4.826316E-01,2.476096E-01,1.130796E-01,4.543544E-02,9.950167E-03,2.995505E-03
-122.48870,37.27517,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999939E-01,9.995807E-01,9.917414E-01,9.352680E-01,7.480438E-01,4.690036E-01,2.521105E-01,1.055086E-01,3.921056E-02,1.291586E-02,2.995505E-03
-122.48869,37.28416,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999950E-01,9.995968E-01,9.919332E-01,9.354942E-01,7.543874E-01,4.880355E-01,2.610315E-01,1.152941E-01,3.921056E-02,1.192829E-02,2.496878E-03
-122.48869,37.29316,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999945E-01,9.995757E-01,9.915239E-01,9.343882E-01,7.593713E-01,4.841813E-01,2.554684E-01,1.090794E-01,4.160953E-02,9.950167E-03,2.995505E-03
-122.48869,37.30215,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999952E-01,9.996642E-01,9.928454E-01,9.402150E-01,7.685751E-01,4.989253E-01,2.720333E-01,1.293367E-01,4.829484E-02,1.340928E-02,3.992011E-03
-122.48869,37.31114,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999928E-01,9.995297E-01,9.917579E-01,9.337288E-01,7.496762E-01,4.769091E-01,2.661862E-01,1.175031E-01,4.591260E-02,1.587268E-02,4.489890E-03
