# mean, investigation_time=50.0, imt="FIV3(2.2)"
lon,lat,depth,poe-0.21,poe-0.2672,poe-0.3399,poe-0.4324,poe-0.5501,poe-0.6998,poe-0.8903,poe-1.1327,poe-1.441,poe-1.8332,poe-2.3322,poe-2.967,poe-3.7746,poe-4.8021,poe-6.1092,poe-7.7721,poe-9.8876,poe-12.579,poe-16.003,poe-20.359,poe-25.9006,poe-32.9507,poe-41.9198,poe-53.3303,poe-67.8467,poe-86.3144,poe-109.8089,poe-139.6986,poe-177.7242,poe-226.1003,poe-287.6443,poe-365.9404,poe-465.5484,poe-592.2696,poe-753.4839,poe-958.5803,poe-1219.5035,poe-1551.4494,poe-1973.7501,poe-2511.0
-118.74599,33.63558,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999986E-01,9.999871E-01,9.999115E-01,9.995313E-01,9.979764E-01,9.927236E-01,9.777380E-01,9.423217E-01,8.728642E-01,7.593412E-01,6.133556E-01,4.578703E-01,3.143411E-01,1.988844E-01,1.151835E-01,6.410314E-02,3.535971E-02,1.771619E-02,7.347872E-03,2.870871E-03,1.873243E-03,6.248047E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74596,33.68054,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999989E-01,9.999897E-01,9.999278E-01,9.995959E-01,9.982139E-01,9.931892E-01,9.793673E-01,9.454425E-01,8.787469E-01,7.708778E-01,6.309692E-01,4.741556E-01,3.327730E-01,2.186640E-01,1.334626E-01,7.411014E-02,4.101035E-02,2.041376E-02,9.702623E-03,3.992011E-03,1.873243E-03,4.998750E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74593,33.72551,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999991E-01,9.999909E-01,9.999340E-01,9.996233E-01,9.983691E-01,9.939306E-01,9.808341E-01,9.486197E-01,8.832535E-01,7.794212E-01,6.422783E-01,4.879075E-01,3.484330E-01,2.247929E-01,1.390768E-01,7.976389E-02,4.543544E-02,2.432428E-02,1.229874E-02,5.733500E-03,1.748470E-03,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74591,33.77047,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999993E-01,9.999930E-01,9.999456E-01,9.996800E-01,9.985163E-01,9.944273E-01,9.820582E-01,9.525107E-01,8.921216E-01,7.910687E-01,6.544957E-01,5.049641E-01,3.598162E-01,2.392877E-01,1.494525E-01,8.629727E-02,5.019635E-02,3.040323E-02,1.747059E-02,8.959621E-03,4.614321E-03,1.623680E-03,3.749297E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74588,33.81544,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999995E-01,9.999943E-01,9.999548E-01,9.997284E-01,9.987212E-01,9.950034E-01,9.833734E-01,9.549283E-01,8.957798E-01,7.996621E-01,6.677524E-01,5.204346E-01,3.755444E-01,2.563985E-01,1.655646E-01,1.012497E-01,6.445403E-02,3.933065E-02,2.273752E-02,1.168124E-02,6.478921E-03,3.120122E-03,1.748470E-03,7.497188E-04,4.998750E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00
-118.74585,33.86041,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999996E-01,9.999951E-01,9.999596E-01,9.997569E-01,9.988240E-01,9.954409E-01,9.846670E-01,9.577594E-01,9.017878E-01,8.080701E-01,6.807801E-01,5.331513E-01,3.912667E-01,2.766593E-01,1.824964E-01,1.201466E-01,7.987891E-02,5.197556E-02,3.294509E-02,1.808448E-02,9.950167E-03,4.614321E-03,1.873243E-03,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74582,33.90537,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999996E-01,9.999958E-01,9.999655E-01,9.997839E-01,9.989244E-01,9.957417E-01,9.857749E-01,9.604276E-01,9.059802E-01,8.152497E-01,6.943303E-01,5.495463E-01,4.116157E-01,2.900069E-01,1.985839E-01,1.325956E-01,8.800886E-02,5.823547E-02,3.716671E-02,2.383632E-02,1.365590E-02,6.106280E-03,3.120122E-03,1.498876E-03,8.746173E-04,4.998750E-04,1.249922E-04,1.249922E-04,0.000000E+00
-118.74580,33.95034,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999997E-01,9.999965E-01,9.999699E-01,9.998074E-01,9.990435E-01,9.961014E-01,9.866335E-01,9.625781E-01,9.103529E-01,8.223607E-01,7.019145E-01,5.621483E-01,4.262864E-01,3.054562E-01,2.093303E-01,1.385386E-01,8.721051E-02,5.434266E-02,3.209855E-02,1.820721E-02,1.007392E-02,5.360581E-03,2.746222E-03,1.374055E-03,3.749297E-04,1.249922E-04,1.249922E-04,1.249922E-04,1.249922E-04
-118.74577,33.99530,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999970E-01,9.999731E-01,9.998255E-01,9.991210E-01,9.963284E-01,9.873028E-01,9.638698E-01,9.129589E-01,8.289416E-01,7.140676E-01,5.814672E-01,4.429638E-01,3.188686E-01,2.165124E-01,1.358423E-01,8.446804E-02,5.493351E-02,3.354931E-02,1.832993E-02,1.019765E-02,4.738736E-03,2.122744E-03,1.124367E-03,6.248047E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00
-118.74574,34.04027,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999976E-01,9.999782E-01,9.998525E-01,9.992203E-01,9.966766E-01,9.881375E-01,9.660164E-01,9.182222E-01,8.372232E-01,7.229688E-01,5.873374E-01,4.488510E-01,3.206542E-01,2.170019E-01,1.382155E-01,8.320832E-02,4.972133E-02,3.016081E-02,1.796173E-02,9.578828E-03,4.863136E-03,3.244724E-03,2.122744E-03,1.498876E-03,6.248047E-04,2.499688E-04,0.000000E+00,0.000000E+00
