# mean, investigation_time=50.0, imt="PGA"
lon,lat,depth,poe-0.001,poe-0.0013,poe-0.0016,poe-0.002,poe-0.0025,poe-0.0031,poe-0.0039,poe-0.0049,poe-0.0061,poe-0.0077,poe-0.0097,poe-0.0121,poe-0.0152,poe-0.0191,poe-0.024,poe-0.0301,poe-0.0378,poe-0.0474,poe-0.0595,poe-0.0747,poe-0.0937,poe-0.1176,poe-0.1476,poe-0.1852,poe-0.2324,poe-0.2916,poe-0.3659,poe-0.4592,poe-0.5762,poe-0.7231,poe-0.9073,poe-1.1386,poe-1.4287,poe-1.7929,poe-2.2498,poe-2.8231,poe-3.5426,poe-4.4454,poe-5.5784,poe-7.0
-118.74599,33.63558,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999980E-01,9.999844E-01,9.999066E-01,9.995003E-01,9.977369E-01,9.918000E-01,9.766726E-01,9.423289E-01,8.829905E-01,7.931218E-01,6.735978E-01,5.448485E-01,4.216783E-01,3.045875E-01,2.086382E-01,1.350858E-01,8.240577E-02,4.888947E-02,2.651708E-02,1.501119E-02,6.727270E-03,3.244724E-03,1.374055E-03,6.248047E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74596,33.68054,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999984E-01,9.999872E-01,9.999217E-01,9.995641E-01,9.980455E-01,9.928212E-01,9.790711E-01,9.487095E-01,8.937011E-01,8.074694E-01,6.951697E-01,5.654742E-01,4.374358E-01,3.134835E-01,2.187617E-01,1.415484E-01,8.948964E-02,5.185705E-02,2.882636E-02,1.562662E-02,6.727270E-03,2.496878E-03,1.623680E-03,6.248047E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74593,33.72551,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999989E-01,9.999908E-01,9.999412E-01,9.996688E-01,9.984717E-01,9.941868E-01,9.818621E-01,9.541154E-01,9.036844E-01,8.236219E-01,7.139604E-01,5.867696E-01,4.568529E-01,3.402373E-01,2.341355E-01,1.565461E-01,1.021480E-01,5.929435E-02,3.294509E-02,1.820721E-02,6.975557E-03,3.493882E-03,1.124367E-03,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74591,33.77047,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999990E-01,9.999921E-01,9.999487E-01,9.997104E-01,9.985971E-01,9.946891E-01,9.840512E-01,9.595069E-01,9.107666E-01,8.355461E-01,7.299775E-01,6.063823E-01,4.791926E-01,3.572504E-01,2.562126E-01,1.780905E-01,1.147410E-01,7.063154E-02,4.208861E-02,2.298180E-02,1.131055E-02,4.987521E-03,2.496878E-03,7.497188E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74588,33.81544,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999993E-01,9.999942E-01,9.999605E-01,9.997721E-01,9.989187E-01,9.956946E-01,9.864111E-01,9.639735E-01,9.215760E-01,8.504688E-01,7.496136E-01,6.349150E-01,5.098898E-01,3.914188E-01,2.851089E-01,1.961761E-01,1.280298E-01,8.389565E-02,5.173853E-02,3.113016E-02,1.661050E-02,9.578828E-03,3.867502E-03,2.247471E-03,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74585,33.86041,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999995E-01,9.999958E-01,9.999719E-01,9.998304E-01,9.991577E-01,9.965179E-01,9.886624E-01,9.689956E-01,9.299818E-01,8.657767E-01,7.736392E-01,6.609558E-01,5.357699E-01,4.100692E-01,3.069305E-01,2.208097E-01,1.535888E-01,1.052850E-01,6.737305E-02,4.184910E-02,2.298180E-02,1.180477E-02,5.484903E-03,2.496878E-03,9.995002E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74582,33.90537,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999995E-01,9.999962E-01,9.999734E-01,9.998389E-01,9.991844E-01,9.966369E-01,9.889947E-01,9.697535E-01,9.323732E-01,8.682370E-01,7.806858E-01,6.720027E-01,5.543628E-01,4.353928E-01,3.223504E-01,2.351878E-01,1.623249E-01,1.137445E-01,7.491995E-02,4.686621E-02,2.931182E-02,1.587268E-02,8.092081E-03,3.369311E-03,1.124367E-03,3.749297E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00
-118.74580,33.95034,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999996E-01,9.999969E-01,9.999787E-01,9.998640E-01,9.993030E-01,9.970682E-01,9.900469E-01,9.722182E-01,9.377284E-01,8.792007E-01,7.939476E-01,6.910266E-01,5.733857E-01,4.509825E-01,3.430353E-01,2.479858E-01,1.733509E-01,1.165097E-01,7.387865E-02,4.603186E-02,2.517762E-02,1.254564E-02,6.106280E-03,2.496878E-03,1.249219E-03,4.998750E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74577,33.99530,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999997E-01,9.999973E-01,9.999810E-01,9.998764E-01,9.993454E-01,9.971694E-01,9.904706E-01,9.733875E-01,9.399604E-01,8.842705E-01,8.053885E-01,7.043636E-01,5.887792E-01,4.655409E-01,3.507906E-01,2.521105E-01,1.756211E-01,1.139660E-01,7.063154E-02,4.065067E-02,2.200430E-02,1.143413E-02,6.106280E-03,2.621558E-03,1.374055E-03,4.998750E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74574,34.04027,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999981E-01,9.999863E-01,9.999064E-01,9.994951E-01,9.977847E-01,9.921775E-01,9.777157E-01,9.483040E-01,8.968556E-01,8.213810E-01,7.227609E-01,6.046070E-01,4.829548E-01,3.634867E-01,2.589039E-01,1.743836E-01,1.145196E-01,7.260435E-02,4.495804E-02,2.359225E-02,1.106335E-02,4.987521E-03,1.748470E-03,7.497188E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
