# mean, investigation_time=50.0, imt="SA(4.2)"
lon,lat,depth,poe-0.001,poe-0.0012,poe-0.0015,poe-0.0019,poe-0.0023,poe-0.0028,poe-0.0034,poe-0.0042,poe-0.0052,poe-0.0063,poe-0.0078,poe-0.0096,poe-0.0117,poe-0.0144,poe-0.0177,poe-0.0217,poe-0.0267,poe-0.0328,poe-0.0403,poe-0.0494,poe-0.0607,poe-0.0745,poe-0.0915,poe-0.1124,poe-0.138,poe-0.1694,poe-0.208,poe-0.2554,poe-0.3136,poe-0.3851,poe-0.4728,poe-0.5806,poe-0.7129,poe-0.8753,poe-1.0748,poe-1.3198,poe-1.6205,poe-1.9898,poe-2.4432,poe-3.0
-118.74599,33.63558,0.00000,9.990226E-01,9.979391E-01,9.952465E-01,9.892058E-01,9.799119E-01,9.636705E-01,9.388087E-01,8.993267E-01,8.435666E-01,7.802467E-01,6.983914E-01,6.095674E-01,5.242558E-01,4.307867E-01,3.459850E-01,2.659110E-01,1.975815E-01,1.393996E-01,9.244400E-02,6.093915E-02,3.848970E-02,2.359225E-02,1.414895E-02,8.216063E-03,5.111889E-03,2.746222E-03,1.124367E-03,3.749297E-04,3.749297E-04,2.499688E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74596,33.68054,0.00000,9.991874E-01,9.982594E-01,9.959362E-01,9.903833E-01,9.819300E-01,9.668554E-01,9.430881E-01,9.049640E-01,8.509726E-01,7.907289E-01,7.074881E-01,6.215798E-01,5.352474E-01,4.513941E-01,3.647585E-01,2.876956E-01,2.131755E-01,1.533772E-01,1.033817E-01,6.783925E-02,4.340483E-02,2.761163E-02,1.685631E-02,1.032137E-02,6.354723E-03,3.120122E-03,1.998001E-03,1.124367E-03,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74593,33.72551,0.00000,9.992288E-01,9.983386E-01,9.960021E-01,9.905572E-01,9.822412E-01,9.678229E-01,9.446387E-01,9.068692E-01,8.527318E-01,7.933544E-01,7.159557E-01,6.311997E-01,5.497152E-01,4.615847E-01,3.769478E-01,2.967199E-01,2.218804E-01,1.630576E-01,1.136337E-01,7.630652E-02,4.900835E-02,3.028203E-02,1.992384E-02,1.242220E-02,5.484903E-03,3.120122E-03,9.995002E-04,7.497188E-04,1.249922E-04,1.249922E-04,1.249922E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74591,33.77047,0.00000,9.993106E-01,9.985313E-01,9.964311E-01,9.915345E-01,9.839352E-01,9.701852E-01,9.489908E-01,9.135012E-01,8.629110E-01,8.058016E-01,7.305170E-01,6.477362E-01,5.629685E-01,4.754686E-01,3.965698E-01,3.166513E-01,2.443107E-01,1.832114E-01,1.304244E-01,9.187660E-02,6.246389E-02,4.041080E-02,2.408033E-02,1.501119E-02,7.844074E-03,5.484903E-03,2.247471E-03,9.995002E-04,6.248047E-04,3.749297E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74588,33.81544,0.00000,9.994084E-01,9.986807E-01,9.967578E-01,9.922708E-01,9.848878E-01,9.720999E-01,9.511255E-01,9.172660E-01,8.677419E-01,8.111637E-01,7.378596E-01,6.561329E-01,5.778945E-01,4.949637E-01,4.085186E-01,3.271615E-01,2.536981E-01,1.901247E-01,1.397223E-01,9.888735E-02,7.039917E-02,4.638953E-02,2.749008E-02,1.685631E-02,1.093972E-02,7.471945E-03,4.240981E-03,2.122744E-03,1.249219E-03,7.497188E-04,3.749297E-04,1.249922E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74585,33.86041,0.00000,9.994860E-01,9.988357E-01,9.971111E-01,9.930002E-01,9.864991E-01,9.746791E-01,9.558483E-01,9.233688E-01,8.773137E-01,8.245673E-01,7.528167E-01,6.768860E-01,5.964178E-01,5.120293E-01,4.300035E-01,3.490842E-01,2.736694E-01,2.092315E-01,1.558077E-01,1.106372E-01,8.045381E-02,5.741106E-02,3.885020E-02,2.481199E-02,1.402571E-02,8.587912E-03,5.360581E-03,2.870871E-03,1.623680E-03,7.497188E-04,7.497188E-04,4.998750E-04,3.749297E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74582,33.90537,0.00000,9.995148E-01,9.989224E-01,9.973155E-01,9.932376E-01,9.868308E-01,9.750561E-01,9.566631E-01,9.248204E-01,8.795174E-01,8.263564E-01,7.568617E-01,6.797009E-01,6.021280E-01,5.205545E-01,4.360276E-01,3.582138E-01,2.807167E-01,2.166103E-01,1.602281E-01,1.166202E-01,8.286445E-02,5.717539E-02,3.764801E-02,2.456817E-02,1.562662E-02,1.044507E-02,6.354723E-03,3.867502E-03,2.372182E-03,1.124367E-03,6.248047E-04,3.749297E-04,1.249922E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74580,33.95034,0.00000,9.995708E-01,9.990299E-01,9.975296E-01,9.938034E-01,9.878661E-01,9.767191E-01,9.585441E-01,9.281824E-01,8.849916E-01,8.339763E-01,7.660447E-01,6.909879E-01,6.141282E-01,5.324505E-01,4.521479E-01,3.746070E-01,2.987389E-01,2.330817E-01,1.755180E-01,1.236590E-01,8.171731E-02,5.635005E-02,3.656475E-02,2.371429E-02,1.488806E-02,9.331192E-03,6.106280E-03,4.116504E-03,2.122744E-03,1.249219E-03,6.248047E-04,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74577,33.99530,0.00000,9.996160E-01,9.991090E-01,9.977184E-01,9.942266E-01,9.885097E-01,9.778656E-01,9.612742E-01,9.318214E-01,8.896530E-01,8.421524E-01,7.758915E-01,7.009816E-01,6.251109E-01,5.443931E-01,4.592239E-01,3.776484E-01,2.974228E-01,2.257613E-01,1.684801E-01,1.239876E-01,8.743868E-02,6.082176E-02,4.196886E-02,2.688207E-02,1.648757E-02,1.069243E-02,6.106280E-03,3.618438E-03,2.247471E-03,1.748470E-03,6.248047E-04,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74574,34.04027,0.00000,9.996787E-01,9.992479E-01,9.980174E-01,9.948679E-01,9.898230E-01,9.803072E-01,9.646294E-01,9.378761E-01,8.972031E-01,8.485690E-01,7.830579E-01,7.085830E-01,6.354166E-01,5.555310E-01,4.716519E-01,3.898955E-01,3.097835E-01,2.379553E-01,1.768567E-01,1.302070E-01,8.880650E-02,6.117389E-02,3.860988E-02,2.371429E-02,1.574966E-02,9.702623E-03,5.733500E-03,4.240981E-03,2.496878E-03,1.374055E-03,9.995002E-04,2.499688E-04,2.499688E-04,2.499688E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74570,34.08524,0.00000,9.997091E-01,9.993107E-01,9.981520E-01,9.951590E-01,9.902282E-01,9.809774E-01,9.660546E-01,9.397047E-01,9.009866E-01,8.540513E-01,7.884407E-01,7.191333E-01,6.450843E-01,5.592930E-01,4.734979E-01,3.970976E-01,3.214180E-01,2.525778E-01,1.879960E-01,1.328124E-01,9.062707E-02,5.894152E-02,3.788857E-02,2.408033E-02,1.266906E-02,5.982036E-03,3.369311E-03,2.247471E-03,1.249219E-03,4.998750E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74567,34.13020,0.00000,9.997318E-01,9.993405E-01,9.982370E-01,9.953604E-01,9.906019E-01,9.816064E-01,9.663839E-01,9.397799E-01,8.997787E-01,8.533930E-01,7.877255E-01,7.182190E-01,6.413381E-01,5.575820E-01,4.763203E-01,3.957396E-01,3.225198E-01,2.546304E-01,1.906307E-01,1.395072E-01,9.730902E-02,6.398614E-02,4.077058E-02,2.469009E-02,1.414895E-02,7.720046E-03,4.240981E-03,2.496878E-03,1.249219E-03,8.746173E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74565,34.17517,0.00000,9.997414E-01,9.993754E-01,9.983100E-01,9.955194E-01,9.908477E-01,9.819480E-01,9.668885E-01,9.414427E-01,9.015666E-01,8.558463E-01,7.908074E-01,7.182190E-01,6.421441E-01,5.601186E-01,4.811420E-01,4.034696E-01,3.284219E-01,2.580697E-01,1.995851E-01,1.448685E-01,1.047256E-01,6.958541E-02,4.256745E-02,2.627368E-02,1.488806E-02,8.587912E-03,4.987521E-03,2.496878E-03,1.498876E-03,7.497188E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74562,34.22013,0.00000,9.997734E-01,9.994396E-01,9.984399E-01,9.958087E-01,9.912679E-01,9.827359E-01,9.684088E-01,9.425448E-01,9.059802E-01,8.591768E-01,7.973449E-01,7.253135E-01,6.522860E-01,5.734391E-01,4.966024E-01,4.192878E-01,3.431995E-01,2.781948E-01,2.150420E-01,1.628483E-01,1.156258E-01,7.941873E-02,5.185705E-02,3.137235E-02,1.869798E-02,1.180477E-02,6.478921E-03,3.244724E-03,1.124367E-03,2.499688E-04,1.249922E-04,1.249922E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74559,34.26510,0.00000,9.997648E-01,9.994312E-01,9.984629E-01,9.958799E-01,9.915355E-01,9.829162E-01,9.685231E-01,9.436755E-01,9.046547E-01,8.587537E-01,7.930959E-01,7.220322E-01,6.498435E-01,5.720505E-01,4.978593E-01,4.271463E-01,3.574913E-01,2.934597E-01,2.348053E-01,1.872852E-01,1.365981E-01,9.990053E-02,7.179253E-02,4.722357E-02,3.064560E-02,1.734776E-02,1.081608E-02,5.857776E-03,2.746222E-03,1.374055E-03,2.499688E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
