# mean, investigation_time=50.0, imt="PGA"
lon,lat,depth,poe-0.001,poe-0.0013,poe-0.0016,poe-0.002,poe-0.0025,poe-0.0031,poe-0.0039,poe-0.0049,poe-0.0061,poe-0.0077,poe-0.0097,poe-0.0121,poe-0.0152,poe-0.0191,poe-0.024,poe-0.0301,poe-0.0378,poe-0.0474,poe-0.0595,poe-0.0747,poe-0.0937,poe-0.1176,poe-0.1476,poe-0.1852,poe-0.2324,poe-0.2916,poe-0.3659,poe-0.4592,poe-0.5762,poe-0.7231,poe-0.9073,poe-1.1386,poe-1.4287,poe-1.7929,poe-2.2498,poe-2.8231,poe-3.5426,poe-4.4454,poe-5.5784,poe-7.0
-118.74599,33.63558,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999996E-01,9.999973E-01,9.999788E-01,9.998641E-01,9.992692E-01,9.967602E-01,9.885913E-01,9.675847E-01,9.223757E-01,8.473718E-01,7.372363E-01,5.995334E-01,4.613827E-01,3.344390E-01,2.226581E-01,1.392920E-01,8.045381E-02,4.436095E-02,2.127052E-02,1.081608E-02,4.987521E-03,1.873243E-03,8.746173E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74596,33.68054,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999978E-01,9.999825E-01,9.998839E-01,9.993612E-01,9.971870E-01,9.898319E-01,9.711710E-01,9.303833E-01,8.585770E-01,7.537419E-01,6.203479E-01,4.817902E-01,3.441020E-01,2.336567E-01,1.443339E-01,8.732460E-02,4.865167E-02,2.432428E-02,1.155769E-02,3.867502E-03,1.748470E-03,9.995002E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74593,33.72551,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999985E-01,9.999874E-01,9.999133E-01,9.995115E-01,9.977983E-01,9.916906E-01,9.744789E-01,9.373928E-01,8.718591E-01,7.713642E-01,6.406200E-01,5.014867E-01,3.702926E-01,2.483617E-01,1.601231E-01,9.809853E-02,5.292311E-02,2.773317E-02,1.328595E-02,5.111889E-03,1.623680E-03,6.248047E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74591,33.77047,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999987E-01,9.999892E-01,9.999242E-01,9.995657E-01,9.979817E-01,9.924607E-01,9.775424E-01,9.430169E-01,8.808652E-01,7.846520E-01,6.577196E-01,5.239584E-01,3.854561E-01,2.707583E-01,1.790146E-01,1.100812E-01,6.445403E-02,3.415315E-02,1.599569E-02,7.471945E-03,3.244724E-03,1.623680E-03,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74588,33.81544,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999990E-01,9.999919E-01,9.999417E-01,9.996622E-01,9.984018E-01,9.938397E-01,9.805882E-01,9.505417E-01,8.931148E-01,8.018290E-01,6.852574E-01,5.529121E-01,4.191426E-01,2.977740E-01,1.973809E-01,1.214654E-01,7.364709E-02,4.220834E-02,2.249317E-02,1.180477E-02,5.111889E-03,2.372182E-03,4.998750E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74585,33.86041,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999993E-01,9.999942E-01,9.999576E-01,9.997444E-01,9.987620E-01,9.949494E-01,9.835881E-01,9.562330E-01,9.049403E-01,8.206202E-01,7.113383E-01,5.776306E-01,4.410107E-01,3.205693E-01,2.206149E-01,1.457232E-01,9.199011E-02,5.493351E-02,2.906912E-02,1.525741E-02,6.478921E-03,3.244724E-03,1.249219E-03,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74582,33.90537,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999993E-01,9.999946E-01,9.999606E-01,9.997569E-01,9.987980E-01,9.950815E-01,9.841268E-01,9.578491E-01,9.063789E-01,8.270279E-01,7.191684E-01,5.916988E-01,4.614500E-01,3.343558E-01,2.345183E-01,1.525301E-01,9.899998E-02,5.917676E-02,3.535971E-02,1.894328E-02,8.340027E-03,3.493882E-03,1.124367E-03,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74580,33.95034,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999995E-01,9.999957E-01,9.999676E-01,9.997944E-01,9.989668E-01,9.956768E-01,9.855165E-01,9.611336E-01,9.149380E-01,8.379945E-01,7.350926E-01,6.108829E-01,4.795180E-01,3.539478E-01,2.461034E-01,1.644165E-01,1.030454E-01,6.035205E-02,3.439458E-02,1.488806E-02,6.851421E-03,2.870871E-03,1.249219E-03,4.998750E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74577,33.99530,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999996E-01,9.999962E-01,9.999717E-01,9.998137E-01,9.990076E-01,9.958181E-01,9.863071E-01,9.625126E-01,9.178123E-01,8.457993E-01,7.445555E-01,6.247358E-01,4.934463E-01,3.627702E-01,2.508005E-01,1.671277E-01,1.015866E-01,5.705753E-02,3.003957E-02,1.390246E-02,7.968085E-03,3.618438E-03,1.249219E-03,4.998750E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00
-118.74574,34.04027,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999997E-01,9.999973E-01,9.999789E-01,9.998551E-01,9.992344E-01,9.967096E-01,9.886354E-01,9.684561E-01,9.282631E-01,8.602989E-01,7.646367E-01,6.425465E-01,5.089700E-01,3.752321E-01,2.569560E-01,1.667112E-01,1.018112E-01,6.058694E-02,3.234049E-02,1.488806E-02,5.733500E-03,1.748470E-03,6.248047E-04,3.749297E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
