# mean, investigation_time=50.0, imt="SA(4.9)"
lon,lat,depth,poe-0.001,poe-0.0012,poe-0.0015,poe-0.0019,poe-0.0023,poe-0.0028,poe-0.0034,poe-0.0042,poe-0.0052,poe-0.0063,poe-0.0078,poe-0.0096,poe-0.0117,poe-0.0144,poe-0.0177,poe-0.0217,poe-0.0267,poe-0.0328,poe-0.0403,poe-0.0494,poe-0.0607,poe-0.0745,poe-0.0915,poe-0.1124,poe-0.138,poe-0.1694,poe-0.208,poe-0.2554,poe-0.3136,poe-0.3851,poe-0.4728,poe-0.5806,poe-0.7129,poe-0.8753,poe-1.0748,poe-1.3198,poe-1.6205,poe-1.9898,poe-2.4432,poe-3.0
-118.74599,33.63558,0.00000,9.998679E-01,9.996789E-01,9.991378E-01,9.977769E-01,9.954432E-01,9.909444E-01,9.827359E-01,9.676858E-01,9.429099E-01,9.102184E-01,8.605954E-01,7.972183E-01,7.285562E-01,6.458820E-01,5.603384E-01,4.737611E-01,3.857633E-01,3.071904E-01,2.362387E-01,1.762391E-01,1.228919E-01,8.538311E-02,5.315986E-02,3.415315E-02,1.882064E-02,1.056875E-02,5.609209E-03,3.120122E-03,1.249219E-03,4.998750E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74596,33.68054,0.00000,9.998833E-01,9.997159E-01,9.992316E-01,9.979882E-01,9.958659E-01,9.917279E-01,9.846210E-01,9.703265E-01,9.464157E-01,9.149911E-01,8.662958E-01,8.035800E-01,7.351257E-01,6.562618E-01,5.739719E-01,4.916067E-01,4.082967E-01,3.264042E-01,2.532315E-01,1.869804E-01,1.332459E-01,9.312440E-02,5.929435E-02,3.716671E-02,2.102581E-02,1.192829E-02,6.727270E-03,3.120122E-03,1.249219E-03,4.998750E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74593,33.72551,0.00000,9.999077E-01,9.997712E-01,9.993707E-01,9.982938E-01,9.964065E-01,9.927472E-01,9.858777E-01,9.723879E-01,9.494605E-01,9.193289E-01,8.731976E-01,8.164237E-01,7.484529E-01,6.687477E-01,5.839189E-01,4.998014E-01,4.189974E-01,3.338564E-01,2.603846E-01,1.953718E-01,1.398298E-01,9.425730E-02,6.410314E-02,4.125007E-02,2.566491E-02,1.673342E-02,9.702623E-03,4.614321E-03,2.746222E-03,1.374055E-03,7.497188E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74591,33.77047,0.00000,9.999130E-01,9.997811E-01,9.993911E-01,9.983609E-01,9.965569E-01,9.928784E-01,9.862848E-01,9.733842E-01,9.514239E-01,9.225017E-01,8.788075E-01,8.223162E-01,7.560703E-01,6.803808E-01,5.996836E-01,5.166431E-01,4.300035E-01,3.502223E-01,2.768402E-01,2.128803E-01,1.553855E-01,1.075189E-01,7.283618E-02,4.627032E-02,3.088791E-02,1.661050E-02,1.155769E-02,6.478921E-03,4.116504E-03,2.247471E-03,9.995002E-04,4.998750E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74588,33.81544,0.00000,9.999273E-01,9.998153E-01,9.994731E-01,9.985483E-01,9.969348E-01,9.935834E-01,9.874871E-01,9.756963E-01,9.557766E-01,9.277592E-01,8.838938E-01,8.282130E-01,7.660739E-01,6.906015E-01,6.105910E-01,5.227071E-01,4.416392E-01,3.644408E-01,2.910711E-01,2.240173E-01,1.654603E-01,1.133013E-01,7.838250E-02,5.197556E-02,3.415315E-02,2.139286E-02,1.266906E-02,7.720046E-03,4.489890E-03,2.372182E-03,1.124367E-03,6.248047E-04,3.749297E-04,2.499688E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74585,33.86041,0.00000,9.999368E-01,9.998377E-01,9.995348E-01,9.987118E-01,9.971736E-01,9.941853E-01,9.883826E-01,9.774665E-01,9.579911E-01,9.314883E-01,8.887944E-01,8.346804E-01,7.717640E-01,6.971825E-01,6.175854E-01,5.380275E-01,4.589535E-01,3.771814E-01,3.033694E-01,2.378600E-01,1.791173E-01,1.274846E-01,9.108164E-02,6.152588E-02,3.981087E-02,2.542130E-02,1.513431E-02,9.207350E-03,5.733500E-03,3.867502E-03,2.372182E-03,9.995002E-04,3.749297E-04,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74582,33.90537,0.00000,9.999471E-01,9.998626E-01,9.996032E-01,9.988719E-01,9.975243E-01,9.947643E-01,9.894776E-01,9.793749E-01,9.613178E-01,9.358640E-01,8.949953E-01,8.429396E-01,7.841399E-01,7.130651E-01,6.362360E-01,5.607229E-01,4.787367E-01,3.981518E-01,3.249713E-01,2.529514E-01,1.939625E-01,1.405821E-01,9.978801E-02,6.853811E-02,4.650872E-02,2.906912E-02,1.796173E-02,1.093972E-02,7.099677E-03,4.240981E-03,1.998001E-03,1.124367E-03,4.998750E-04,3.749297E-04,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74580,33.95034,0.00000,9.999526E-01,9.998747E-01,9.996255E-01,9.989185E-01,9.976463E-01,9.949228E-01,9.898192E-01,9.798792E-01,9.621547E-01,9.377829E-01,8.991252E-01,8.482089E-01,7.894959E-01,7.188171E-01,6.402155E-01,5.604483E-01,4.771052E-01,3.996545E-01,3.273297E-01,2.595521E-01,1.970798E-01,1.470036E-01,1.067377E-01,7.074770E-02,4.650872E-02,2.931182E-02,1.759340E-02,1.069243E-02,5.733500E-03,2.870871E-03,1.623680E-03,1.124367E-03,6.248047E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74577,33.99530,0.00000,9.999583E-01,9.998880E-01,9.996653E-01,9.990368E-01,9.978737E-01,9.954896E-01,9.909716E-01,9.817826E-01,9.651647E-01,9.415524E-01,9.050234E-01,8.556299E-01,7.970154E-01,7.277406E-01,6.498435E-01,5.690443E-01,4.895691E-01,4.108798E-01,3.351042E-01,2.666447E-01,2.064589E-01,1.518943E-01,1.066260E-01,7.272027E-02,5.055246E-02,3.016081E-02,1.796173E-02,1.069243E-02,5.857776E-03,3.493882E-03,1.873243E-03,6.248047E-04,6.248047E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74574,34.04027,0.00000,9.999660E-01,9.999078E-01,9.997122E-01,9.991536E-01,9.980902E-01,9.958809E-01,9.916772E-01,9.827380E-01,9.666476E-01,9.438863E-01,9.066594E-01,8.584886E-01,8.012087E-01,7.311898E-01,6.560039E-01,5.815718E-01,5.008008E-01,4.257842E-01,3.463936E-01,2.783752E-01,2.116002E-01,1.575997E-01,1.150729E-01,7.861287E-02,5.090844E-02,3.221953E-02,1.980133E-02,1.180477E-02,7.471945E-03,4.365444E-03,1.873243E-03,8.746173E-04,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
