# mean, investigation_time=50.0, imt="SAAVG(1.2)"
lon,lat,depth,poe-0.001,poe-0.0012,poe-0.0015,poe-0.0019,poe-0.0023,poe-0.0028,poe-0.0034,poe-0.0042,poe-0.0052,poe-0.0063,poe-0.0078,poe-0.0096,poe-0.0117,poe-0.0144,poe-0.0177,poe-0.0217,poe-0.0267,poe-0.0328,poe-0.0403,poe-0.0494,poe-0.0607,poe-0.0745,poe-0.0915,poe-0.1124,poe-0.138,poe-0.1694,poe-0.208,poe-0.2554,poe-0.3136,poe-0.3851,poe-0.4728,poe-0.5806,poe-0.7129,poe-0.8753,poe-1.0748,poe-1.3198,poe-1.6205,poe-1.9898,poe-2.4432,poe-3.0
-118.74599,33.63558,0.00000,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.235548E-01,4.120568E-01,2.862696E-01,1.818831E-01,1.114150E-01,6.375211E-02,3.668518E-02,2.004635E-02,1.007392E-02,5.360581E-03,2.621558E-03,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74596,33.68054,0.00000,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.316399E-01,4.203756E-01,2.939011E-01,1.939625E-01,1.211359E-01,6.958541E-02,3.860988E-02,2.029130E-02,9.455018E-03,4.738736E-03,2.247471E-03,8.746173E-04,3.749297E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74593,33.72551,0.00000,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.469185E-01,4.360276E-01,3.090930E-01,2.079454E-01,1.323787E-01,7.964885E-02,4.352440E-02,2.310392E-02,1.254564E-02,5.982036E-03,3.369311E-03,1.623680E-03,4.998750E-04,3.749297E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74591,33.77047,0.00000,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.677410E-01,4.554252E-01,3.258145E-01,2.225609E-01,1.420848E-01,8.778083E-02,5.197556E-02,2.834065E-02,1.562662E-02,8.835734E-03,4.987521E-03,2.122744E-03,8.746173E-04,2.499688E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74588,33.81544,0.00000,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.795831E-01,4.670086E-01,3.399898E-01,2.375741E-01,1.540119E-01,9.911260E-02,6.340095E-02,3.897033E-02,2.322602E-02,1.279247E-02,7.596003E-03,3.493882E-03,1.748470E-03,8.746173E-04,6.248047E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00
-118.74585,33.86041,0.00000,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,5.024205E-01,4.921149E-01,3.647585E-01,2.579770E-01,1.750026E-01,1.160679E-01,7.549794E-02,4.900835E-02,3.113016E-02,1.894328E-02,1.155769E-02,5.857776E-03,2.372182E-03,1.124367E-03,4.998750E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00
-118.74582,33.90537,0.00000,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.148878E-01,5.044688E-01,3.787365E-01,2.770209E-01,1.902259E-01,1.273756E-01,8.435359E-02,5.905915E-02,3.788857E-02,2.395833E-02,1.353260E-02,6.727270E-03,3.618438E-03,1.748470E-03,7.497188E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00
-118.74580,33.95034,0.00000,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.283415E-01,5.187532E-01,3.924070E-01,2.799971E-01,1.984837E-01,1.334626E-01,8.709641E-02,5.823547E-02,3.584190E-02,1.967879E-02,1.118696E-02,4.863136E-03,2.496878E-03,6.248047E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-118.74577,33.99530,0.00000,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.417659E-01,5.301656E-01,4.017521E-01,2.919567E-01,2.032784E-01,1.350858E-01,8.948964E-02,5.280472E-02,3.137235E-02,1.636462E-02,7.596003E-03,4.489890E-03,1.998001E-03,8.746173E-04,4.998750E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00
-118.74574,34.04027,0.00000,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.516809E-01,5.417086E-01,4.130115E-01,2.999650E-01,2.075493E-01,1.338958E-01,8.663984E-02,5.256789E-02,3.016081E-02,1.857531E-02,1.069243E-02,5.857776E-03,2.870871E-03,1.873243E-03,6.248047E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00
