# mean, investigation_time=50.0, imt="FIV3(2.8)"
lon,lat,depth,poe-0.23,poe-0.2921,poe-0.371,poe-0.4711,poe-0.5983,poe-0.7599,poe-0.9651,poe-1.2256,poe-1.5566,poe-1.9768,poe-2.5106,poe-3.1884,poe-4.0493,poe-5.1426,poe-6.5312,poe-8.2946,poe-10.5341,poe-13.3784,poe-16.9906,poe-21.5781,poe-27.4042,poe-34.8034,poe-44.2004,poe-56.1346,poe-71.2911,poe-90.5398,poe-114.9857,poe-146.0321,poe-185.4611,poe-235.5361,poe-299.1313,poe-379.8974,poe-482.4705,poe-612.7386,poe-778.1794,poe-988.2896,poe-1255.1299,poe-1594.0177,poe-2024.406,poe-2571.0
-122.64369,37.01075,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999996E-01,9.999903E-01,9.998785E-01,9.990730E-01,9.948711E-01,9.797859E-01,9.389462E-01,8.564935E-01,7.252792E-01,5.716223E-01,4.161581E-01,2.732153E-01,1.728341E-01,9.990053E-02,5.386972E-02,2.882636E-02,1.303924E-02,5.982036E-03,2.372182E-03,4.998750E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64365,37.05571,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999995E-01,9.999903E-01,9.998832E-01,9.991157E-01,9.953155E-01,9.811383E-01,9.419601E-01,8.617235E-01,7.370720E-01,5.771552E-01,4.195781E-01,2.881407E-01,1.819853E-01,1.071842E-01,5.976459E-02,3.076676E-02,1.574966E-02,6.603103E-03,1.998001E-03,3.749297E-04,3.749297E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64362,37.10068,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999996E-01,9.999906E-01,9.998865E-01,9.991143E-01,9.953202E-01,9.814424E-01,9.438512E-01,8.661954E-01,7.460836E-01,5.961149E-01,4.431726E-01,3.004899E-01,1.938617E-01,1.166202E-01,6.363507E-02,3.137235E-02,1.377919E-02,6.106280E-03,2.247471E-03,9.995002E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64359,37.14565,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999996E-01,9.999918E-01,9.998995E-01,9.992100E-01,9.957560E-01,9.829887E-01,9.488695E-01,8.790647E-01,7.627166E-01,6.170592E-01,4.656745E-01,3.255616E-01,2.154343E-01,1.294456E-01,7.607558E-02,3.909045E-02,2.078103E-02,9.455018E-03,3.992011E-03,1.498876E-03,4.998750E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64355,37.19061,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999995E-01,9.999909E-01,9.998919E-01,9.991803E-01,9.956240E-01,9.827768E-01,9.480644E-01,8.762819E-01,7.588594E-01,6.148028E-01,4.621900E-01,3.269092E-01,2.184686E-01,1.333543E-01,7.815207E-02,4.304604E-02,2.114817E-02,8.463977E-03,3.742978E-03,1.374055E-03,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64352,37.23558,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999995E-01,9.999909E-01,9.998943E-01,9.992056E-01,9.957930E-01,9.834418E-01,9.502751E-01,8.802381E-01,7.674732E-01,6.210591E-01,4.699320E-01,3.349380E-01,2.255677E-01,1.418703E-01,8.584030E-02,4.829484E-02,2.469009E-02,1.192829E-02,6.106280E-03,1.873243E-03,7.497188E-04,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64349,37.28054,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999995E-01,9.999906E-01,9.998958E-01,9.992278E-01,9.958907E-01,9.842631E-01,9.514725E-01,8.838357E-01,7.742608E-01,6.346411E-01,4.852119E-01,3.496535E-01,2.410922E-01,1.541177E-01,9.391758E-02,5.398798E-02,2.943315E-02,1.427217E-02,5.360581E-03,1.873243E-03,6.248047E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64346,37.32551,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999995E-01,9.999904E-01,9.998934E-01,9.992362E-01,9.959595E-01,9.843905E-01,9.532936E-01,8.860078E-01,7.804390E-01,6.447292E-01,4.999889E-01,3.676106E-01,2.552823E-01,1.660860E-01,1.030454E-01,6.140856E-02,3.270330E-02,1.697920E-02,7.347872E-03,2.621558E-03,7.497188E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64342,37.37048,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999995E-01,9.999906E-01,9.998935E-01,9.992237E-01,9.960641E-01,9.850512E-01,9.545151E-01,8.910646E-01,7.889953E-01,6.560039E-01,5.096447E-01,3.740595E-01,2.653602E-01,1.793225E-01,1.151835E-01,6.888734E-02,4.196886E-02,2.029130E-02,7.968085E-03,3.244724E-03,1.249219E-03,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64339,37.41544,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999994E-01,9.999896E-01,9.998896E-01,9.992293E-01,9.960901E-01,9.850381E-01,9.557157E-01,8.922967E-01,7.885993E-01,6.544092E-01,5.114801E-01,3.811392E-01,2.758451E-01,1.937610E-01,1.266117E-01,7.699904E-02,4.244776E-02,2.298180E-02,1.168124E-02,4.863136E-03,2.372182E-03,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
