# mean, investigation_time=50.0, imt="FIV3(2.1)"
lon,lat,depth,poe-0.21,poe-0.2672,poe-0.34,poe-0.4327,poe-0.5506,poe-0.7007,poe-0.8916,poe-1.1346,poe-1.4438,poe-1.8372,poe-2.3379,poe-2.975,poe-3.7857,poe-4.8173,poe-6.1301,poe-7.8006,poe-9.9263,poe-12.6313,poe-16.0734,poe-20.4535,poe-26.0273,poe-33.1199,poe-42.1454,poe-53.6303,poe-68.245,poe-86.8423,poe-110.5075,poe-140.6217,poe-178.9422,poe-227.7053,poe-289.7568,poe-368.7178,poe-469.1963,poe-597.056,poe-759.7585,poe-966.7987,poe-1230.2589,poe-1565.5142,poe-1992.1291,poe-2535.0
-122.64369,37.01075,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999956E-01,9.999370E-01,9.994501E-01,9.967431E-01,9.860497E-01,9.541268E-01,8.840098E-01,7.678798E-01,6.139352E-01,4.538573E-01,3.108181E-01,1.997851E-01,1.157363E-01,6.035205E-02,2.991831E-02,1.488806E-02,6.354723E-03,2.870871E-03,7.497188E-04,3.749297E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64365,37.05571,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999958E-01,9.999403E-01,9.994766E-01,9.968802E-01,9.865042E-01,9.564567E-01,8.877891E-01,7.720491E-01,6.193976E-01,4.587505E-01,3.156255E-01,2.031788E-01,1.201466E-01,6.737305E-02,3.403242E-02,1.574966E-02,8.587912E-03,3.618438E-03,1.748470E-03,4.998750E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64362,37.10068,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999954E-01,9.999375E-01,9.994663E-01,9.968544E-01,9.864619E-01,9.560191E-01,8.900385E-01,7.770929E-01,6.262339E-01,4.669420E-01,3.188686E-01,2.049697E-01,1.232207E-01,7.086386E-02,3.427387E-02,1.673342E-02,7.223782E-03,2.870871E-03,9.995002E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64359,37.14565,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999956E-01,9.999400E-01,9.994816E-01,9.969420E-01,9.873583E-01,9.583988E-01,8.940063E-01,7.826508E-01,6.364179E-01,4.783456E-01,3.352704E-01,2.196401E-01,1.369218E-01,7.387865E-02,4.077058E-02,2.053620E-02,8.959621E-03,3.493882E-03,1.249219E-03,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64355,37.19061,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999956E-01,9.999418E-01,9.995087E-01,9.971327E-01,9.878827E-01,9.608312E-01,8.993896E-01,7.968123E-01,6.581045E-01,5.012374E-01,3.571700E-01,2.341355E-01,1.468970E-01,8.102834E-02,4.495804E-02,2.469009E-02,9.702623E-03,4.489890E-03,1.998001E-03,6.248047E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64352,37.23558,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999954E-01,9.999416E-01,9.995151E-01,9.972101E-01,9.882379E-01,9.611190E-01,9.014927E-01,7.994868E-01,6.602346E-01,5.103797E-01,3.666613E-01,2.496759E-01,1.648342E-01,1.010250E-01,5.505164E-02,2.821919E-02,1.377919E-02,5.360581E-03,1.623680E-03,8.746173E-04,4.998750E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64349,37.28054,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999955E-01,9.999406E-01,9.995170E-01,9.972640E-01,9.885855E-01,9.618937E-01,9.035157E-01,8.043641E-01,6.685406E-01,5.166431E-01,3.787365E-01,2.596447E-01,1.714889E-01,1.027090E-01,5.929435E-02,3.161447E-02,1.538049E-02,6.354723E-03,2.621558E-03,8.746173E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64346,37.32551,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999954E-01,9.999427E-01,9.995455E-01,9.973968E-01,9.888479E-01,9.629921E-01,9.059097E-01,8.097422E-01,6.745756E-01,5.276925E-01,3.908861E-01,2.730336E-01,1.835177E-01,1.151835E-01,6.702325E-02,3.475662E-02,1.734776E-02,7.347872E-03,2.746222E-03,8.746173E-04,4.998750E-04,3.749297E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.64342,37.37048,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999952E-01,9.999421E-01,9.995379E-01,9.973752E-01,9.890221E-01,9.644921E-01,9.101173E-01,8.148335E-01,6.843906E-01,5.402167E-01,4.007791E-01,2.818846E-01,1.933577E-01,1.268300E-01,7.780631E-02,4.256745E-02,2.212654E-02,9.702623E-03,4.116504E-03,1.623680E-03,4.998750E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64339,37.41544,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999950E-01,9.999382E-01,9.995390E-01,9.974006E-01,9.890837E-01,9.654639E-01,9.130785E-01,8.199012E-01,6.971068E-01,5.541399E-01,4.135249E-01,3.000525E-01,2.068556E-01,1.365981E-01,8.274980E-02,4.710447E-02,2.578669E-02,1.217527E-02,5.609209E-03,2.746222E-03,1.623680E-03,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
