# mean, investigation_time=50.0, imt="PGA"
lon,lat,depth,poe-0.001,poe-0.0013,poe-0.0016,poe-0.002,poe-0.0025,poe-0.0031,poe-0.0039,poe-0.0049,poe-0.0061,poe-0.0077,poe-0.0097,poe-0.0121,poe-0.0152,poe-0.0191,poe-0.024,poe-0.0301,poe-0.0378,poe-0.0474,poe-0.0595,poe-0.0747,poe-0.0937,poe-0.1176,poe-0.1476,poe-0.1852,poe-0.2324,poe-0.2916,poe-0.3659,poe-0.4592,poe-0.5762,poe-0.7231,poe-0.9073,poe-1.1386,poe-1.4287,poe-1.7929,poe-2.2498,poe-2.8231,poe-3.5426,poe-4.4454,poe-5.5784,poe-7.0
-122.64369,37.01075,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999976E-01,9.999543E-01,9.994828E-01,9.962659E-01,9.825602E-01,9.441592E-01,8.695480E-01,7.605414E-01,6.272603E-01,4.854693E-01,3.582138E-01,2.451604E-01,1.609626E-01,9.651882E-02,5.670385E-02,3.209855E-02,1.734776E-02,9.083494E-03,3.867502E-03,1.748470E-03,6.248047E-04,2.499688E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64365,37.05571,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999972E-01,9.999502E-01,9.994748E-01,9.963481E-01,9.838950E-01,9.484653E-01,8.793667E-01,7.747118E-01,6.442404E-01,5.064470E-01,3.767920E-01,2.622313E-01,1.727307E-01,1.096361E-01,6.187774E-02,3.668518E-02,1.808448E-02,9.083494E-03,4.116504E-03,1.249219E-03,4.998750E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64362,37.10068,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999976E-01,9.999566E-01,9.995317E-01,9.968033E-01,9.852682E-01,9.535150E-01,8.875785E-01,7.863412E-01,6.572915E-01,5.182717E-01,3.898192E-01,2.732153E-01,1.801427E-01,1.163993E-01,6.783925E-02,3.584190E-02,1.955625E-02,8.587912E-03,4.365444E-03,1.374055E-03,3.749297E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64359,37.14565,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999972E-01,9.999554E-01,9.995320E-01,9.968650E-01,9.860845E-01,9.550520E-01,8.920136E-01,7.923186E-01,6.684577E-01,5.315145E-01,4.019764E-01,2.882297E-01,1.943654E-01,1.227822E-01,7.179253E-02,4.101035E-02,2.139286E-02,1.007392E-02,4.863136E-03,1.873243E-03,1.249219E-03,6.248047E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64355,37.19061,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999974E-01,9.999578E-01,9.995617E-01,9.970784E-01,9.869455E-01,9.581902E-01,8.993016E-01,8.058259E-01,6.847455E-01,5.515688E-01,4.252097E-01,3.060636E-01,2.113045E-01,1.382155E-01,8.320832E-02,4.579334E-02,2.529947E-02,1.254564E-02,6.230509E-03,3.244724E-03,1.498876E-03,6.248047E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64352,37.23558,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999976E-01,9.999630E-01,9.996252E-01,9.975827E-01,9.893479E-01,9.647486E-01,9.126756E-01,8.270279E-01,7.099277E-01,5.771552E-01,4.437292E-01,3.321889E-01,2.301041E-01,1.476431E-01,9.142242E-02,5.457905E-02,3.137235E-02,1.611868E-02,9.455018E-03,4.614321E-03,1.998001E-03,7.497188E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64349,37.28054,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999969E-01,9.999554E-01,9.995834E-01,9.973555E-01,9.886864E-01,9.636932E-01,9.101735E-01,8.235557E-01,7.092016E-01,5.808913E-01,4.558335E-01,3.371788E-01,2.363342E-01,1.552799E-01,9.798578E-02,5.422445E-02,2.712532E-02,1.451857E-02,7.844074E-03,2.870871E-03,1.249219E-03,7.497188E-04,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64346,37.32551,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999966E-01,9.999533E-01,9.995719E-01,9.973339E-01,9.886538E-01,9.641666E-01,9.131979E-01,8.284705E-01,7.184654E-01,5.927182E-01,4.691363E-01,3.528162E-01,2.537913E-01,1.658775E-01,1.049494E-01,6.363507E-02,3.270330E-02,1.661050E-02,8.959621E-03,4.116504E-03,1.124367E-03,4.998750E-04,3.749297E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64342,37.37048,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999962E-01,9.999512E-01,9.995679E-01,9.974117E-01,9.892058E-01,9.670907E-01,9.205300E-01,8.404464E-01,7.358201E-01,6.106396E-01,4.871388E-01,3.704500E-01,2.671945E-01,1.868787E-01,1.209162E-01,7.190854E-02,4.160953E-02,2.261535E-02,1.044507E-02,4.614321E-03,1.623680E-03,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64339,37.41544,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999967E-01,9.999581E-01,9.996459E-01,9.978625E-01,9.909343E-01,9.714543E-01,9.288169E-01,8.563319E-01,7.566185E-01,6.365087E-01,5.109302E-01,3.959661E-01,2.906279E-01,2.031788E-01,1.332459E-01,8.114321E-02,4.567405E-02,2.505576E-02,1.143413E-02,4.489890E-03,1.623680E-03,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
