# mean, investigation_time=50.0, imt="SA(4.0)"
lon,lat,depth,poe-0.001,poe-0.0012,poe-0.0015,poe-0.0019,poe-0.0023,poe-0.0028,poe-0.0034,poe-0.0042,poe-0.0052,poe-0.0063,poe-0.0078,poe-0.0096,poe-0.0117,poe-0.0144,poe-0.0177,poe-0.0217,poe-0.0267,poe-0.0328,poe-0.0403,poe-0.0494,poe-0.0607,poe-0.0745,poe-0.0915,poe-0.1124,poe-0.138,poe-0.1694,poe-0.208,poe-0.2554,poe-0.3136,poe-0.3851,poe-0.4728,poe-0.5806,poe-0.7129,poe-0.8753,poe-1.0748,poe-1.3198,poe-1.6205,poe-1.9898,poe-2.4432,poe-3.0
-122.64369,37.01075,0.00000,9.998683E-01,9.995903E-01,9.986014E-01,9.955878E-01,9.898459E-01,9.782904E-01,9.579754E-01,9.224145E-01,8.673777E-01,8.035063E-01,7.198696E-01,6.272603E-01,5.353054E-01,4.460883E-01,3.587751E-01,2.813458E-01,2.182732E-01,1.622202E-01,1.176134E-01,7.884319E-02,5.233100E-02,3.427387E-02,2.127052E-02,1.303924E-02,7.720046E-03,4.116504E-03,1.748470E-03,1.374055E-03,3.749297E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64365,37.05571,0.00000,9.998813E-01,9.996278E-01,9.987288E-01,9.960211E-01,9.909444E-01,9.805834E-01,9.621074E-01,9.292427E-01,8.786559E-01,8.180003E-01,7.360511E-01,6.457049E-01,5.507272E-01,4.578025E-01,3.728064E-01,2.945187E-01,2.280805E-01,1.747963E-01,1.263933E-01,8.857867E-02,6.164318E-02,3.885020E-02,2.261535E-02,1.365590E-02,6.106280E-03,3.369311E-03,1.873243E-03,6.248047E-04,2.499688E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64362,37.10068,0.00000,9.998767E-01,9.996276E-01,9.987190E-01,9.959168E-01,9.906861E-01,9.802603E-01,9.620411E-01,9.289947E-01,8.805073E-01,8.195407E-01,7.409865E-01,6.544957E-01,5.655285E-01,4.721140E-01,3.857633E-01,3.114209E-01,2.427978E-01,1.873868E-01,1.413338E-01,9.956293E-02,6.713986E-02,4.448040E-02,2.894775E-02,1.624166E-02,8.587912E-03,4.987521E-03,2.372182E-03,1.124367E-03,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64359,37.14565,0.00000,9.998766E-01,9.996292E-01,9.987350E-01,9.960602E-01,9.909918E-01,9.810249E-01,9.634701E-01,9.323647E-01,8.842705E-01,8.245893E-01,7.466226E-01,6.610406E-01,5.749294E-01,4.800382E-01,3.969469E-01,3.192942E-01,2.503321E-01,1.918439E-01,1.433707E-01,1.023724E-01,7.074770E-02,4.710447E-02,3.028203E-02,1.685631E-02,9.207350E-03,5.609209E-03,2.870871E-03,1.249219E-03,4.998750E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64355,37.19061,0.00000,9.998874E-01,9.996606E-01,9.988562E-01,9.963957E-01,9.917805E-01,9.824201E-01,9.652778E-01,9.353893E-01,8.890721E-01,8.330815E-01,7.556430E-01,6.698225E-01,5.840749E-01,4.942056E-01,4.116893E-01,3.377585E-01,2.674693E-01,2.052677E-01,1.571784E-01,1.128578E-01,8.125806E-02,5.646800E-02,3.523912E-02,2.273752E-02,1.217527E-02,6.478921E-03,3.369311E-03,1.374055E-03,3.749297E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64352,37.23558,0.00000,9.998911E-01,9.996757E-01,9.989033E-01,9.965439E-01,9.919925E-01,9.829248E-01,9.668968E-01,9.378994E-01,8.939134E-01,8.395864E-01,7.636343E-01,6.794606E-01,5.952052E-01,5.076793E-01,4.230502E-01,3.475364E-01,2.785556E-01,2.181755E-01,1.654603E-01,1.222338E-01,8.880650E-02,5.858856E-02,3.764801E-02,2.310392E-02,1.353260E-02,6.478921E-03,3.493882E-03,1.748470E-03,1.124367E-03,6.248047E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64349,37.28054,0.00000,9.998724E-01,9.996264E-01,9.987658E-01,9.961666E-01,9.915323E-01,9.818983E-01,9.652951E-01,9.358079E-01,8.901759E-01,8.345771E-01,7.576507E-01,6.728626E-01,5.898572E-01,4.989879E-01,4.196506E-01,3.468020E-01,2.800871E-01,2.256645E-01,1.711781E-01,1.270483E-01,9.278426E-02,6.713986E-02,4.304604E-02,2.639539E-02,1.648757E-02,8.463977E-03,3.992011E-03,1.748470E-03,1.124367E-03,2.499688E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64346,37.32551,0.00000,9.998783E-01,9.996433E-01,9.988251E-01,9.963590E-01,9.918113E-01,9.826472E-01,9.663250E-01,9.385404E-01,8.951002E-01,8.425268E-01,7.698445E-01,6.855326E-01,5.992330E-01,5.137950E-01,4.316399E-01,3.569289E-01,2.886744E-01,2.309698E-01,1.805525E-01,1.384309E-01,1.006878E-01,7.051536E-02,4.758079E-02,3.100904E-02,1.967879E-02,1.143413E-02,4.738736E-03,2.496878E-03,1.124367E-03,6.248047E-04,3.749297E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64342,37.37048,0.00000,9.998784E-01,9.996414E-01,9.988322E-01,9.964476E-01,9.920831E-01,9.833192E-01,9.679233E-01,9.403642E-01,8.981751E-01,8.454906E-01,7.752182E-01,6.974095E-01,6.160527E-01,5.319827E-01,4.512570E-01,3.739813E-01,3.058034E-01,2.456320E-01,1.964774E-01,1.524242E-01,1.162888E-01,8.572602E-02,5.670385E-02,3.704635E-02,2.285967E-02,1.488806E-02,8.216063E-03,4.863136E-03,3.369311E-03,1.374055E-03,7.497188E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64339,37.41544,0.00000,9.998705E-01,9.996242E-01,9.987998E-01,9.963572E-01,9.919634E-01,9.829993E-01,9.674629E-01,9.399979E-01,8.979329E-01,8.485311E-01,7.760316E-01,6.987681E-01,6.174420E-01,5.320412E-01,4.485064E-01,3.783481E-01,3.146839E-01,2.584406E-01,2.071530E-01,1.618012E-01,1.231111E-01,9.051339E-02,6.410314E-02,4.208861E-02,2.785470E-02,1.648757E-02,8.711830E-03,3.244724E-03,1.998001E-03,7.497188E-04,4.998750E-04,2.499688E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
