# mean, investigation_time=50.0, imt="PGA"
lon,lat,depth,poe-0.001,poe-0.0013,poe-0.0016,poe-0.002,poe-0.0025,poe-0.0031,poe-0.0039,poe-0.0049,poe-0.0061,poe-0.0077,poe-0.0097,poe-0.0121,poe-0.0152,poe-0.0191,poe-0.024,poe-0.0301,poe-0.0378,poe-0.0474,poe-0.0595,poe-0.0747,poe-0.0937,poe-0.1176,poe-0.1476,poe-0.1852,poe-0.2324,poe-0.2916,poe-0.3659,poe-0.4592,poe-0.5762,poe-0.7231,poe-0.9073,poe-1.1386,poe-1.4287,poe-1.7929,poe-2.2498,poe-2.8231,poe-3.5426,poe-4.4454,poe-5.5784,poe-7.0
-122.64369,37.01075,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999952E-01,9.999133E-01,9.991000E-01,9.938358E-01,9.735004E-01,9.207878E-01,8.261392E-01,6.961588E-01,5.450191E-01,4.019016E-01,2.707583E-01,1.725239E-01,1.001255E-01,5.635005E-02,3.028203E-02,1.488806E-02,6.975557E-03,2.372182E-03,8.746173E-04,2.499688E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64365,37.05571,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999946E-01,9.999076E-01,9.990982E-01,9.941723E-01,9.755744E-01,9.267407E-01,8.391447E-01,7.114826E-01,5.681276E-01,4.180525E-01,2.907165E-01,1.832114E-01,1.108595E-01,6.070436E-02,3.282420E-02,1.636462E-02,7.099677E-03,3.120122E-03,4.998750E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64362,37.10068,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999952E-01,9.999198E-01,9.991878E-01,9.947321E-01,9.775480E-01,9.326936E-01,8.492489E-01,7.250387E-01,5.760437E-01,4.306444E-01,3.003150E-01,1.934586E-01,1.181647E-01,6.667332E-02,3.342849E-02,1.562662E-02,7.099677E-03,2.496878E-03,7.497188E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64359,37.14565,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999947E-01,9.999180E-01,9.991898E-01,9.949959E-01,9.786483E-01,9.363592E-01,8.521231E-01,7.341638E-01,5.874921E-01,4.428245E-01,3.185279E-01,2.069547E-01,1.257378E-01,6.935278E-02,3.608292E-02,1.832993E-02,7.596003E-03,3.244724E-03,1.498876E-03,6.248047E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64355,37.19061,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999951E-01,9.999218E-01,9.992399E-01,9.952477E-01,9.801192E-01,9.395839E-01,8.629624E-01,7.473816E-01,6.077085E-01,4.672750E-01,3.345222E-01,2.214912E-01,1.410117E-01,8.056875E-02,4.184910E-02,2.114817E-02,9.826402E-03,4.614321E-03,2.247471E-03,1.124367E-03,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64352,37.23558,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999955E-01,9.999324E-01,9.993629E-01,9.961188E-01,9.832921E-01,9.490291E-01,8.787620E-01,7.715642E-01,6.334975E-01,4.864331E-01,3.569289E-01,2.433655E-01,1.492398E-01,8.869259E-02,5.090844E-02,2.676042E-02,1.340928E-02,6.727270E-03,3.120122E-03,8.746173E-04,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64349,37.28054,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999997E-01,9.999942E-01,9.999206E-01,9.993009E-01,9.957507E-01,9.826493E-01,9.472069E-01,8.761272E-01,7.692107E-01,6.385476E-01,4.959098E-01,3.647585E-01,2.476096E-01,1.562297E-01,9.267086E-02,4.924607E-02,2.322602E-02,1.143413E-02,5.236243E-03,2.372182E-03,7.497188E-04,4.998750E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64346,37.32551,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999997E-01,9.999937E-01,9.999169E-01,9.992835E-01,9.957406E-01,9.827983E-01,9.485168E-01,8.801783E-01,7.763113E-01,6.452617E-01,5.119073E-01,3.775706E-01,2.640735E-01,1.673359E-01,1.004629E-01,5.493351E-02,2.651708E-02,1.316261E-02,5.360581E-03,1.748470E-03,6.248047E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64342,37.37048,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999996E-01,9.999932E-01,9.999120E-01,9.992620E-01,9.958887E-01,9.838021E-01,9.526707E-01,8.890027E-01,7.917987E-01,6.648325E-01,5.264511E-01,3.975496E-01,2.775629E-01,1.867771E-01,1.151835E-01,6.503857E-02,3.475662E-02,1.624166E-02,6.727270E-03,2.247471E-03,7.497188E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64339,37.41544,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999996E-01,9.999940E-01,9.999263E-01,9.994015E-01,9.966132E-01,9.862212E-01,9.584143E-01,9.001663E-01,8.087168E-01,6.876872E-01,5.530797E-01,4.208102E-01,2.991771E-01,2.013840E-01,1.255192E-01,7.202455E-02,3.812907E-02,1.857531E-02,7.099677E-03,2.746222E-03,4.998750E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
