# mean, investigation_time=50.0, imt="SA(3.4)"
lon,lat,depth,poe-0.001,poe-0.0012,poe-0.0015,poe-0.0019,poe-0.0023,poe-0.0029,poe-0.0036,poe-0.0044,poe-0.0055,poe-0.0068,poe-0.0084,poe-0.0104,poe-0.0128,poe-0.0159,poe-0.0196,poe-0.0243,poe-0.03,poe-0.0372,poe-0.046,poe-0.0569,poe-0.0703,poe-0.087,poe-0.1076,poe-0.1331,poe-0.1647,poe-0.2037,poe-0.252,poe-0.3117,poe-0.3856,poe-0.4769,poe-0.59,poe-0.7298,poe-0.9027,poe-1.1166,poe-1.3812,poe-1.7085,poe-2.1134,poe-2.6142,poe-3.2337,poe-4.0
-122.64369,37.01075,0.00000,1.000000E+00,9.999998E-01,9.999984E-01,9.999878E-01,9.999486E-01,9.997573E-01,9.991276E-01,9.974387E-01,9.926201E-01,9.825776E-01,9.630107E-01,9.286922E-01,8.768220E-01,8.016059E-01,7.150310E-01,6.145620E-01,5.147058E-01,4.160851E-01,3.273297E-01,2.493944E-01,1.817808E-01,1.296632E-01,8.515443E-02,5.552400E-02,3.511852E-02,1.955625E-02,1.155769E-02,6.851421E-03,3.618438E-03,1.998001E-03,4.998750E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64365,37.05571,0.00000,1.000000E+00,9.999998E-01,9.999985E-01,9.999884E-01,9.999509E-01,9.997681E-01,9.991704E-01,9.976668E-01,9.933524E-01,9.841030E-01,9.655458E-01,9.313854E-01,8.827122E-01,8.122464E-01,7.283865E-01,6.326720E-01,5.305179E-01,4.333424E-01,3.400723E-01,2.589965E-01,1.906307E-01,1.378922E-01,9.357773E-02,5.988211E-02,3.740739E-02,2.322602E-02,1.291586E-02,6.727270E-03,3.992011E-03,1.623680E-03,8.746173E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64362,37.10068,0.00000,1.000000E+00,9.999998E-01,9.999985E-01,9.999888E-01,9.999524E-01,9.997752E-01,9.992086E-01,9.977487E-01,9.935513E-01,9.843690E-01,9.664343E-01,9.349029E-01,8.872266E-01,8.194278E-01,7.379251E-01,6.389089E-01,5.359440E-01,4.408710E-01,3.480256E-01,2.660945E-01,2.007848E-01,1.460435E-01,1.009126E-01,6.795576E-02,4.400252E-02,2.505576E-02,1.205179E-02,6.478921E-03,3.493882E-03,1.748470E-03,1.124367E-03,2.499688E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64359,37.14565,0.00000,1.000000E+00,9.999998E-01,9.999984E-01,9.999881E-01,9.999498E-01,9.997705E-01,9.991956E-01,9.977035E-01,9.935165E-01,9.847416E-01,9.674141E-01,9.369136E-01,8.900797E-01,8.224051E-01,7.415363E-01,6.484401E-01,5.510079E-01,4.515998E-01,3.605360E-01,2.790965E-01,2.102193E-01,1.561242E-01,1.116371E-01,7.445729E-02,4.805689E-02,2.809771E-02,1.587268E-02,8.092081E-03,4.614321E-03,2.122744E-03,1.249219E-03,6.248047E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64355,37.19061,0.00000,1.000000E+00,9.999998E-01,9.999986E-01,9.999899E-01,9.999569E-01,9.997986E-01,9.992770E-01,9.978870E-01,9.939850E-01,9.856338E-01,9.691733E-01,9.401477E-01,8.957929E-01,8.326429E-01,7.548475E-01,6.616333E-01,5.634599E-01,4.634658E-01,3.719434E-01,2.910711E-01,2.247929E-01,1.665028E-01,1.220143E-01,8.412465E-02,5.446086E-02,3.463595E-02,2.151517E-02,1.205179E-02,6.975557E-03,3.493882E-03,1.249219E-03,6.248047E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64352,37.23558,0.00000,1.000000E+00,9.999998E-01,9.999983E-01,9.999880E-01,9.999505E-01,9.997742E-01,9.991919E-01,9.976874E-01,9.936306E-01,9.849876E-01,9.681988E-01,9.380854E-01,8.930613E-01,8.281486E-01,7.509869E-01,6.576340E-01,5.617650E-01,4.705942E-01,3.846106E-01,3.077963E-01,2.380505E-01,1.796301E-01,1.300982E-01,9.289766E-02,6.234669E-02,4.053074E-02,2.383632E-02,1.365590E-02,8.092081E-03,4.863136E-03,2.746222E-03,1.124367E-03,6.248047E-04,1.249922E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64349,37.28054,0.00000,1.000000E+00,9.999998E-01,9.999984E-01,9.999886E-01,9.999526E-01,9.997832E-01,9.992410E-01,9.978548E-01,9.940023E-01,9.858299E-01,9.698177E-01,9.414867E-01,8.982514E-01,8.338726E-01,7.561312E-01,6.660453E-01,5.728521E-01,4.767129E-01,3.927107E-01,3.174196E-01,2.512686E-01,1.936602E-01,1.422992E-01,1.005754E-01,7.051536E-02,4.543544E-02,2.724692E-02,1.562662E-02,9.578828E-03,5.236243E-03,1.623680E-03,8.746173E-04,3.749297E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64346,37.32551,0.00000,9.999999E-01,9.999998E-01,9.999984E-01,9.999886E-01,9.999537E-01,9.997920E-01,9.992791E-01,9.979484E-01,9.942020E-01,9.860339E-01,9.705445E-01,9.429741E-01,9.020820E-01,8.423889E-01,7.691530E-01,6.818954E-01,5.897034E-01,4.954685E-01,4.035441E-01,3.288415E-01,2.615855E-01,2.012841E-01,1.518943E-01,1.096361E-01,7.491995E-02,4.960254E-02,2.991831E-02,1.869798E-02,1.044507E-02,5.982036E-03,3.120122E-03,1.249219E-03,4.998750E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64342,37.37048,0.00000,9.999999E-01,9.999998E-01,9.999982E-01,9.999877E-01,9.999505E-01,9.997816E-01,9.992457E-01,9.979116E-01,9.943395E-01,9.866751E-01,9.718441E-01,9.454970E-01,9.073915E-01,8.478099E-01,7.758635E-01,6.879994E-01,5.961654E-01,5.033526E-01,4.156470E-01,3.368473E-01,2.687501E-01,2.097256E-01,1.601231E-01,1.211359E-01,8.538311E-02,5.682176E-02,3.439458E-02,2.078103E-02,1.303924E-02,6.478921E-03,3.120122E-03,1.873243E-03,6.248047E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64339,37.41544,0.00000,9.999999E-01,9.999998E-01,9.999982E-01,9.999875E-01,9.999500E-01,9.997832E-01,9.992746E-01,9.979905E-01,9.944972E-01,9.868883E-01,9.716783E-01,9.463286E-01,9.074957E-01,8.486068E-01,7.801093E-01,6.961208E-01,6.043597E-01,5.120903E-01,4.243469E-01,3.448395E-01,2.810763E-01,2.236292E-01,1.768567E-01,1.335709E-01,9.538876E-02,6.643996E-02,4.400252E-02,2.736851E-02,1.636462E-02,1.069243E-02,5.982036E-03,2.247471E-03,1.124367E-03,6.248047E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
