# mean, investigation_time=50.0, imt="SA(3.7)"
lon,lat,depth,poe-0.001,poe-0.0012,poe-0.0015,poe-0.0019,poe-0.0023,poe-0.0029,poe-0.0036,poe-0.0044,poe-0.0055,poe-0.0068,poe-0.0084,poe-0.0104,poe-0.0128,poe-0.0159,poe-0.0196,poe-0.0243,poe-0.03,poe-0.0372,poe-0.046,poe-0.0569,poe-0.0703,poe-0.087,poe-0.1076,poe-0.1331,poe-0.1647,poe-0.2037,poe-0.252,poe-0.3117,poe-0.3856,poe-0.4769,poe-0.59,poe-0.7298,poe-0.9027,poe-1.1166,poe-1.3812,poe-1.7085,poe-2.1134,poe-2.6142,poe-3.2337,poe-4.0
-122.64369,37.01075,0.00000,9.999999E-01,9.999993E-01,9.999946E-01,9.999661E-01,9.998726E-01,9.994751E-01,9.982874E-01,9.954420E-01,9.882482E-01,9.735004E-01,9.468294E-01,9.043323E-01,8.446578E-01,7.668912E-01,6.745756E-01,5.760437E-01,4.796481E-01,3.843798E-01,2.999650E-01,2.271150E-01,1.650430E-01,1.179442E-01,8.045381E-02,5.422445E-02,3.403242E-02,2.090343E-02,1.069243E-02,5.236243E-03,3.493882E-03,1.498876E-03,7.497188E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64365,37.05571,0.00000,9.999999E-01,9.999993E-01,9.999951E-01,9.999678E-01,9.998811E-01,9.995020E-01,9.983878E-01,9.957230E-01,9.887499E-01,9.748809E-01,9.498820E-01,9.093047E-01,8.504314E-01,7.725614E-01,6.829275E-01,5.842308E-01,4.888029E-01,3.967207E-01,3.141697E-01,2.430817E-01,1.800402E-01,1.298807E-01,8.732460E-02,5.894152E-02,3.692598E-02,2.029130E-02,1.093972E-02,5.982036E-03,2.995505E-03,1.748470E-03,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64362,37.10068,0.00000,9.999999E-01,9.999993E-01,9.999952E-01,9.999694E-01,9.998851E-01,9.995271E-01,9.984574E-01,9.958804E-01,9.892972E-01,9.762518E-01,9.528537E-01,9.149911E-01,8.608044E-01,7.865281E-01,6.994451E-01,6.045081E-01,5.095221E-01,4.121303E-01,3.292609E-01,2.544440E-01,1.920459E-01,1.406895E-01,9.956293E-02,6.690662E-02,4.424149E-02,2.834065E-02,1.599569E-02,9.578828E-03,4.987521E-03,2.372182E-03,1.124367E-03,6.248047E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64359,37.14565,0.00000,9.999999E-01,9.999993E-01,9.999952E-01,9.999700E-01,9.998873E-01,9.995354E-01,9.985178E-01,9.960513E-01,9.896847E-01,9.770055E-01,9.542586E-01,9.149911E-01,8.618272E-01,7.862344E-01,7.027703E-01,6.074141E-01,5.079255E-01,4.178342E-01,3.366815E-01,2.633372E-01,1.988844E-01,1.451891E-01,1.025968E-01,6.912009E-02,4.591260E-02,2.882636E-02,1.783897E-02,9.578828E-03,5.111889E-03,2.372182E-03,1.124367E-03,6.248047E-04,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64355,37.19061,0.00000,9.999999E-01,9.999993E-01,9.999952E-01,9.999704E-01,9.998897E-01,9.995447E-01,9.985262E-01,9.961019E-01,9.900668E-01,9.778574E-01,9.556159E-01,9.187114E-01,8.678741E-01,7.969646E-01,7.139962E-01,6.199681E-01,5.286362E-01,4.341210E-01,3.520877E-01,2.794569E-01,2.156304E-01,1.600182E-01,1.139660E-01,7.976389E-02,5.623209E-02,3.632386E-02,2.371429E-02,1.340928E-02,7.471945E-03,3.369311E-03,1.623680E-03,4.998750E-04,3.749297E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64352,37.23558,0.00000,9.999999E-01,9.999993E-01,9.999953E-01,9.999707E-01,9.998916E-01,9.995534E-01,9.985654E-01,9.962208E-01,9.902269E-01,9.784903E-01,9.568630E-01,9.203210E-01,8.703608E-01,8.009850E-01,7.176195E-01,6.226190E-01,5.329762E-01,4.428941E-01,3.606959E-01,2.844830E-01,2.230467E-01,1.672318E-01,1.195965E-01,8.332291E-02,5.788224E-02,3.692598E-02,2.102581E-02,1.180477E-02,5.733500E-03,2.995505E-03,1.623680E-03,8.746173E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64349,37.28054,0.00000,9.999999E-01,9.999992E-01,9.999949E-01,9.999689E-01,9.998876E-01,9.995571E-01,9.986024E-01,9.962808E-01,9.904061E-01,9.783744E-01,9.564621E-01,9.200517E-01,8.702311E-01,8.015067E-01,7.228302E-01,6.328097E-01,5.377965E-01,4.460191E-01,3.661862E-01,2.961922E-01,2.305852E-01,1.775767E-01,1.307504E-01,8.869259E-02,5.917676E-02,4.041080E-02,2.566491E-02,1.365590E-02,7.471945E-03,3.493882E-03,1.748470E-03,9.995002E-04,6.248047E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64346,37.32551,0.00000,9.999999E-01,9.999992E-01,9.999948E-01,9.999685E-01,9.998868E-01,9.995541E-01,9.985989E-01,9.963403E-01,9.905513E-01,9.790711E-01,9.582320E-01,9.245945E-01,8.765754E-01,8.101460E-01,7.321625E-01,6.411587E-01,5.466088E-01,4.544714E-01,3.738247E-01,3.004024E-01,2.375741E-01,1.845376E-01,1.428351E-01,1.041659E-01,7.376287E-02,4.912722E-02,3.197755E-02,1.894328E-02,9.826402E-03,5.609209E-03,1.873243E-03,9.995002E-04,2.499688E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64342,37.37048,0.00000,9.999998E-01,9.999992E-01,9.999943E-01,9.999664E-01,9.998800E-01,9.995233E-01,9.985188E-01,9.961498E-01,9.902939E-01,9.787415E-01,9.580436E-01,9.245474E-01,8.776813E-01,8.118941E-01,7.370062E-01,6.511105E-01,5.587417E-01,4.719821E-01,3.889033E-01,3.172490E-01,2.519235E-01,1.933577E-01,1.458300E-01,1.103036E-01,8.194686E-02,5.540593E-02,3.596242E-02,2.175977E-02,1.279247E-02,7.347872E-03,3.493882E-03,1.748470E-03,7.497188E-04,3.749297E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64339,37.41544,0.00000,9.999998E-01,9.999991E-01,9.999940E-01,9.999650E-01,9.998778E-01,9.995275E-01,9.985564E-01,9.963068E-01,9.906687E-01,9.797100E-01,9.600599E-01,9.284243E-01,8.815779E-01,8.185228E-01,7.415686E-01,6.525467E-01,5.615458E-01,4.713877E-01,3.937725E-01,3.234507E-01,2.611239E-01,2.100219E-01,1.620107E-01,1.215752E-01,9.074073E-02,6.515543E-02,4.400252E-02,2.894775E-02,1.710207E-02,8.463977E-03,3.992011E-03,1.498876E-03,7.497188E-04,3.749297E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64335,37.46041,0.00000,9.999999E-01,9.999992E-01,9.999946E-01,9.999691E-01,9.998894E-01,9.995768E-01,9.987071E-01,9.966578E-01,9.914419E-01,9.812183E-01,9.628670E-01,9.326262E-01,8.885718E-01,8.261392E-01,7.511737E-01,6.675447E-01,5.792641E-01,4.893138E-01,4.059994E-01,3.363498E-01,2.772017E-01,2.226581E-01,1.758271E-01,1.362743E-01,1.012497E-01,7.156044E-02,4.877058E-02,3.100904E-02,1.759340E-02,1.044507E-02,4.863136E-03,2.247471E-03,1.374055E-03,3.749297E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
