# mean, investigation_time=50.0, imt="SAAVG(0.1)"
lon,lat,depth,poe-0.001,poe-0.0012,poe-0.0015,poe-0.0019,poe-0.0023,poe-0.0029,poe-0.0036,poe-0.0044,poe-0.0055,poe-0.0068,poe-0.0084,poe-0.0104,poe-0.0128,poe-0.0159,poe-0.0196,poe-0.0243,poe-0.03,poe-0.0372,poe-0.046,poe-0.0569,poe-0.0703,poe-0.087,poe-0.1076,poe-0.1331,poe-0.1647,poe-0.2037,poe-0.252,poe-0.3117,poe-0.3856,poe-0.4769,poe-0.59,poe-0.7298,poe-0.9027,poe-1.1166,poe-1.3812,poe-1.7085,poe-2.1134,poe-2.6142,poe-3.2337,poe-4.0
-122.64369,37.01075,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999988E-01,9.999718E-01,9.996306E-01,9.970082E-01,9.843709E-01,9.463956E-01,8.700200E-01,7.548169E-01,6.145139E-01,4.647386E-01,3.370131E-01,2.233380E-01,1.374611E-01,8.068366E-02,4.471925E-02,2.395833E-02,1.192829E-02,4.987521E-03,2.247471E-03,6.248047E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00
-122.64365,37.05571,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999987E-01,9.999696E-01,9.996165E-01,9.970520E-01,9.854567E-01,9.509051E-01,8.785952E-01,7.693549E-01,6.334517E-01,4.860478E-01,3.514395E-01,2.374788E-01,1.511519E-01,8.823682E-02,4.888947E-02,2.590846E-02,1.229874E-02,5.484903E-03,2.247471E-03,3.749297E-04,1.249922E-04,1.249922E-04,1.249922E-04,0.000000E+00
-122.64362,37.10068,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999988E-01,9.999735E-01,9.996628E-01,9.973847E-01,9.867846E-01,9.555327E-01,8.885579E-01,7.795590E-01,6.468545E-01,5.018604E-01,3.616541E-01,2.461034E-01,1.605430E-01,9.877470E-02,5.410622E-02,2.590846E-02,1.291586E-02,5.733500E-03,1.873243E-03,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64359,37.14565,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999986E-01,9.999726E-01,9.996607E-01,9.974560E-01,9.875059E-01,9.570835E-01,8.930212E-01,7.887314E-01,6.549273E-01,5.126389E-01,3.818351E-01,2.641655E-01,1.705563E-01,1.020357E-01,5.493351E-02,2.894775E-02,1.550356E-02,6.851421E-03,2.247471E-03,9.995002E-04,6.248047E-04,2.499688E-04,1.249922E-04,0.000000E+00
-122.64355,37.19061,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999987E-01,9.999745E-01,9.996851E-01,9.975873E-01,9.881967E-01,9.598547E-01,8.991504E-01,8.019280E-01,6.741278E-01,5.335013E-01,4.012284E-01,2.819743E-01,1.849453E-01,1.131904E-01,6.281540E-02,3.306596E-02,1.796173E-02,7.596003E-03,3.120122E-03,1.748470E-03,4.998750E-04,2.499688E-04,0.000000E+00,0.000000E+00
-122.64352,37.23558,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999989E-01,9.999767E-01,9.997256E-01,9.979812E-01,9.902526E-01,9.662027E-01,9.121061E-01,8.210010E-01,6.989940E-01,5.609425E-01,4.253534E-01,3.032823E-01,2.015836E-01,1.253006E-01,7.503557E-02,4.089047E-02,2.347019E-02,1.168124E-02,4.987521E-03,2.746222E-03,8.746173E-04,2.499688E-04,0.000000E+00,0.000000E+00
-122.64349,37.28054,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999985E-01,9.999725E-01,9.996966E-01,9.978062E-01,9.896743E-01,9.647398E-01,9.106885E-01,8.199238E-01,7.021008E-01,5.655828E-01,4.342625E-01,3.155400E-01,2.075493E-01,1.300982E-01,7.561350E-02,3.800882E-02,1.869798E-02,1.032137E-02,3.867502E-03,1.998001E-03,7.497188E-04,2.499688E-04,0.000000E+00,0.000000E+00
-122.64346,37.32551,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999984E-01,9.999715E-01,9.996908E-01,9.978029E-01,9.896873E-01,9.655157E-01,9.134580E-01,8.262478E-01,7.106519E-01,5.839708E-01,4.533109E-01,3.311865E-01,2.232409E-01,1.421920E-01,8.504006E-02,4.531611E-02,2.188204E-02,1.069243E-02,4.240981E-03,1.374055E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.64342,37.37048,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999982E-01,9.999697E-01,9.996848E-01,9.978596E-01,9.902963E-01,9.681112E-01,9.196510E-01,8.387420E-01,7.289630E-01,6.027740E-01,4.727735E-01,3.496535E-01,2.426085E-01,1.637896E-01,9.832398E-02,5.552400E-02,3.052443E-02,1.365590E-02,5.609209E-03,2.122744E-03,8.746173E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.64339,37.41544,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999984E-01,9.999740E-01,9.997392E-01,9.982104E-01,9.917527E-01,9.722599E-01,9.286833E-01,8.532463E-01,7.506755E-01,6.278190E-01,4.988626E-01,3.758565E-01,2.689329E-01,1.798352E-01,1.103036E-01,6.258107E-02,3.330767E-02,1.685631E-02,6.727270E-03,2.122744E-03,8.746173E-04,1.249922E-04,0.000000E+00,0.000000E+00
-122.64335,37.46041,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999983E-01,9.999734E-01,9.997333E-01,9.982113E-01,9.917939E-01,9.732575E-01,9.320427E-01,8.613427E-01,7.600620E-01,6.350062E-01,5.118463E-01,3.879859E-01,2.848407E-01,1.946675E-01,1.242066E-01,7.214054E-02,3.945073E-02,2.016883E-02,1.019765E-02,3.992011E-03,1.249219E-03,1.249922E-04,0.000000E+00,0.000000E+00
-122.64332,37.50537,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999979E-01,9.999676E-01,9.997058E-01,9.981586E-01,9.919654E-01,9.739145E-01,9.343390E-01,8.649858E-01,7.676185E-01,6.526335E-01,5.284594E-01,4.106588E-01,3.056298E-01,2.133721E-01,1.397223E-01,7.987891E-02,4.710447E-02,2.444623E-02,9.826402E-03,3.493882E-03,8.746173E-04,2.499688E-04,0.000000E+00,0.000000E+00
-122.64328,37.55034,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999974E-01,9.999639E-01,9.996824E-01,9.980700E-01,9.918867E-01,9.742160E-01,9.359441E-01,8.702635E-01,7.764790E-01,6.632788E-01,5.441653E-01,4.253534E-01,3.193792E-01,2.245021E-01,1.488143E-01,9.493634E-02,5.351485E-02,2.773317E-02,1.131055E-02,4.738736E-03,1.998001E-03,6.248047E-04,1.249922E-04,0.000000E+00
-122.64325,37.59531,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999974E-01,9.999653E-01,9.996908E-01,9.982001E-01,9.925048E-01,9.760311E-01,9.402150E-01,8.777577E-01,7.870079E-01,6.749008E-01,5.576372E-01,4.398916E-01,3.331065E-01,2.410922E-01,1.657732E-01,1.081881E-01,6.585630E-02,3.523912E-02,1.648757E-02,6.106280E-03,1.998001E-03,6.248047E-04,3.749297E-04,1.249922E-04
-122.64321,37.64027,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999967E-01,9.999585E-01,9.996651E-01,9.980952E-01,9.922640E-01,9.761596E-01,9.412815E-01,8.820801E-01,7.916946E-01,6.845878E-01,5.718364E-01,4.562415E-01,3.498974E-01,2.570489E-01,1.790146E-01,1.154047E-01,7.295206E-02,3.981087E-02,2.065863E-02,9.578828E-03,3.244724E-03,1.249219E-03,8.746173E-04,3.749297E-04
-122.64318,37.68524,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999962E-01,9.999552E-01,9.996449E-01,9.980734E-01,9.924380E-01,9.765439E-01,9.422568E-01,8.835595E-01,7.997873E-01,6.917595E-01,5.769437E-01,4.635329E-01,3.577322E-01,2.667364E-01,1.914397E-01,1.287924E-01,7.953380E-02,4.591260E-02,2.420231E-02,1.106335E-02,5.360581E-03,1.873243E-03,2.499688E-04,0.000000E+00
-122.64314,37.73020,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999960E-01,9.999553E-01,9.996631E-01,9.982392E-01,9.930499E-01,9.785708E-01,9.476210E-01,8.915672E-01,8.101460E-01,7.060586E-01,5.888820E-01,4.761893E-01,3.693473E-01,2.762071E-01,1.968791E-01,1.359503E-01,8.755275E-02,5.351485E-02,3.003957E-02,1.353260E-02,4.738736E-03,1.498876E-03,3.749297E-04,2.499688E-04
-122.64311,37.77517,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999997E-01,9.999952E-01,9.999477E-01,9.996209E-01,9.980778E-01,9.927436E-01,9.779016E-01,9.468892E-01,8.910646E-01,8.089318E-01,7.059484E-01,5.910347E-01,4.769091E-01,3.728848E-01,2.845725E-01,2.061613E-01,1.392920E-01,8.641148E-02,4.972133E-02,2.469009E-02,1.180477E-02,4.863136E-03,1.498876E-03,3.749297E-04,2.499688E-04
-122.64307,37.82014,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999996E-01,9.999945E-01,9.999433E-01,9.996105E-01,9.980453E-01,9.926817E-01,9.782143E-01,9.485168E-01,8.968685E-01,8.171108E-01,7.178313E-01,6.070704E-01,4.936363E-01,3.862239E-01,2.909825E-01,2.123882E-01,1.477497E-01,9.617995E-02,5.764668E-02,3.221953E-02,1.562662E-02,6.478921E-03,2.372182E-03,1.124367E-03,3.749297E-04
-122.64304,37.86510,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999995E-01,9.999940E-01,9.999420E-01,9.996064E-01,9.980708E-01,9.928284E-01,9.790161E-01,9.510093E-01,9.002537E-01,8.252458E-01,7.249012E-01,6.145620E-01,5.008008E-01,3.927107E-01,3.002275E-01,2.179800E-01,1.518943E-01,9.967548E-02,5.976459E-02,3.221953E-02,1.661050E-02,6.851421E-03,2.496878E-03,9.995002E-04,1.249922E-04
