# mean, investigation_time=50.0, imt="SAAVG(0.3)"
lon,lat,depth,poe-0.001,poe-0.0012,poe-0.0015,poe-0.0019,poe-0.0024,poe-0.003,poe-0.0037,poe-0.0046,poe-0.0057,poe-0.0071,poe-0.0089,poe-0.011,poe-0.0137,poe-0.0171,poe-0.0213,poe-0.0265,poe-0.0329,poe-0.041,poe-0.051,poe-0.0634,poe-0.0789,poe-0.0981,poe-0.1221,poe-0.1519,poe-0.1889,poe-0.235,poe-0.2924,poe-0.3638,poe-0.4526,poe-0.563,poe-0.7004,poe-0.8714,poe-1.0841,poe-1.3486,poe-1.6778,poe-2.0873,poe-2.5968,poe-3.2306,poe-4.0191,poe-5.0
-122.64369,37.01075,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999984E-01,9.999701E-01,9.996301E-01,9.971312E-01,9.853692E-01,9.494226E-01,8.722590E-01,7.534339E-01,6.063330E-01,4.556294E-01,3.232816E-01,2.112059E-01,1.289013E-01,7.699904E-02,4.041080E-02,2.200430E-02,1.180477E-02,5.360581E-03,1.998001E-03,1.249219E-03,4.998750E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.64365,37.05571,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999986E-01,9.999744E-01,9.996731E-01,9.974537E-01,9.866685E-01,9.529597E-01,8.807312E-01,7.634274E-01,6.206800E-01,4.676079E-01,3.303500E-01,2.166103E-01,1.335709E-01,7.976389E-02,4.077058E-02,2.004635E-02,9.083494E-03,4.614321E-03,1.498876E-03,3.749297E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64362,37.10068,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999985E-01,9.999723E-01,9.996664E-01,9.974230E-01,9.869960E-01,9.532936E-01,8.803877E-01,7.654004E-01,6.243604E-01,4.761239E-01,3.369302E-01,2.232409E-01,1.445477E-01,8.366659E-02,4.615109E-02,2.481199E-02,9.950167E-03,4.614321E-03,1.374055E-03,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64359,37.14565,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999986E-01,9.999743E-01,9.996922E-01,9.976439E-01,9.881361E-01,9.581327E-01,8.917162E-01,7.829766E-01,6.477362E-01,4.990505E-01,3.581335E-01,2.520170E-01,1.587572E-01,9.527568E-02,5.339653E-02,2.919048E-02,1.266906E-02,4.738736E-03,2.247471E-03,1.124367E-03,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.64355,37.19061,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999985E-01,9.999742E-01,9.996938E-01,9.976636E-01,9.884073E-01,9.592887E-01,8.956887E-01,7.899165E-01,6.535442E-01,5.053352E-01,3.746851E-01,2.618624E-01,1.704526E-01,1.041659E-01,5.717539E-02,3.064560E-02,1.550356E-02,7.844074E-03,2.372182E-03,1.249219E-03,7.497188E-04,3.749297E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.64352,37.23558,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999985E-01,9.999740E-01,9.997020E-01,9.977891E-01,9.890605E-01,9.609339E-01,8.997662E-01,7.982801E-01,6.624359E-01,5.170055E-01,3.808298E-01,2.701199E-01,1.783987E-01,1.115261E-01,6.023459E-02,3.391166E-02,1.488806E-02,6.603103E-03,2.122744E-03,7.497188E-04,2.499688E-04,1.249922E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.64349,37.28054,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999985E-01,9.999744E-01,9.997106E-01,9.978620E-01,9.894868E-01,9.631767E-01,9.054735E-01,8.095518E-01,6.798210E-01,5.411927E-01,4.039168E-01,2.856448E-01,1.875899E-01,1.205864E-01,7.144438E-02,3.608292E-02,1.771619E-02,7.968085E-03,3.369311E-03,1.249219E-03,4.998750E-04,1.249922E-04,1.249922E-04,0.000000E+00,0.000000E+00
-122.64346,37.32551,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999983E-01,9.999728E-01,9.996980E-01,9.978505E-01,9.896924E-01,9.644699E-01,9.083359E-01,8.112581E-01,6.848637E-01,5.460985E-01,4.135249E-01,2.937246E-01,2.030792E-01,1.256286E-01,7.480431E-02,3.981087E-02,2.200430E-02,8.340027E-03,3.493882E-03,1.623680E-03,7.497188E-04,3.749297E-04,1.249922E-04,1.249922E-04,0.000000E+00
-122.64342,37.37048,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999982E-01,9.999723E-01,9.997039E-01,9.979491E-01,9.902110E-01,9.662576E-01,9.129480E-01,8.216264E-01,6.970689E-01,5.615458E-01,4.259277E-01,3.087474E-01,2.101206E-01,1.314021E-01,7.907345E-02,4.400252E-02,2.359225E-02,1.019765E-02,4.240981E-03,1.498876E-03,3.749297E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-122.64339,37.41544,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999982E-01,9.999728E-01,9.997120E-01,9.980259E-01,9.907210E-01,9.679474E-01,9.183244E-01,8.331650E-01,7.147102E-01,5.837108E-01,4.494018E-01,3.301825E-01,2.338482E-01,1.566515E-01,9.832398E-02,5.505164E-02,2.627368E-02,1.019765E-02,4.365444E-03,1.998001E-03,6.248047E-04,2.499688E-04,0.000000E+00,0.000000E+00,0.000000E+00
-122.64335,37.46041,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999980E-01,9.999717E-01,9.997175E-01,9.980832E-01,9.909896E-01,9.701405E-01,9.230712E-01,8.390441E-01,7.248324E-01,5.936844E-01,4.642030E-01,3.511151E-01,2.557476E-01,1.705563E-01,1.066260E-01,6.035205E-02,3.016081E-02,1.451857E-02,6.603103E-03,1.748470E-03,7.497188E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
