lon,lat,FIV3(0.1)-0.02,FIV3(0.1)-0.1,FIV3(1.0)-0.02,FIV3(1.0)-0.1
-122.48874,37.00537,2.879526E+01,1.604211E+01,1.461963E+02,8.478492E+01
-122.48874,37.01437,2.556465E+01,1.523879E+01,1.493517E+02,8.480122E+01
-122.48874,37.02336,2.682555E+01,1.643094E+01,1.485066E+02,8.510650E+01
-122.48873,37.03235,3.026501E+01,1.688291E+01,1.509563E+02,8.475570E+01
-122.48873,37.04135,2.984776E+01,1.693891E+01,1.519225E+02,8.801869E+01
-122.48873,37.05034,2.905172E+01,1.693606E+01,1.483493E+02,8.693431E+01
-122.48873,37.05933,3.064933E+01,1.725668E+01,1.512695E+02,8.809090E+01
-122.48873,37.06833,2.948873E+01,1.718203E+01,1.729371E+02,9.091026E+01
-122.48873,37.07732,3.016710E+01,1.723857E+01,1.710117E+02,9.586665E+01
-122.48873,37.08631,2.846138E+01,1.806948E+01,1.664597E+02,9.046215E+01
-122.48873,37.09531,3.140738E+01,1.777991E+01,1.618666E+02,8.936362E+01
-122.48872,37.10430,3.412276E+01,1.890797E+01,1.664989E+02,9.340031E+01
-122.48872,37.11329,3.072260E+01,1.764391E+01,1.697755E+02,9.556430E+01
-122.48872,37.12228,3.076199E+01,1.869264E+01,1.731828E+02,9.453580E+01
-122.48872,37.13128,3.144811E+01,1.800457E+01,1.806759E+02,9.646295E+01
-122.48872,37.14027,3.082647E+01,1.892004E+01,1.652289E+02,9.641236E+01
-122.48872,37.14926,3.191317E+01,1.908290E+01,1.792814E+02,1.013945E+02
-122.48872,37.15826,3.160176E+01,1.852038E+01,1.815675E+02,1.049221E+02
-122.48871,37.16725,3.089456E+01,1.889634E+01,1.769564E+02,9.930112E+01
-122.48871,37.17624,3.526845E+01,2.030651E+01,1.845780E+02,1.024825E+02
-122.48871,37.18524,3.243260E+01,1.932649E+01,1.905228E+02,1.030815E+02
-122.48871,37.19423,3.632935E+01,1.969958E+01,1.881955E+02,1.038521E+02
-122.48871,37.20322,3.355544E+01,2.009307E+01,1.916793E+02,1.046526E+02
-122.48871,37.21222,3.548364E+01,2.018839E+01,1.983046E+02,1.091159E+02
-122.48871,37.22121,3.763582E+01,1.997948E+01,2.070588E+02,1.110425E+02
-122.48870,37.23020,3.694830E+01,2.085489E+01,1.932854E+02,1.080272E+02
-122.48870,37.23920,3.745492E+01,2.075245E+01,2.087850E+02,1.096041E+02
-122.48870,37.24819,3.776870E+01,2.070815E+01,1.997842E+02,1.092402E+02
-122.48870,37.25718,3.943940E+01,2.126243E+01,2.143568E+02,1.141688E+02
-122.48870,37.26618,3.630805E+01,2.152717E+01,2.115084E+02,1.145174E+02
-122.48870,37.27517,3.689768E+01,2.179883E+01,2.176840E+02,1.105563E+02
-122.48870,37.28416,3.730919E+01,2.143547E+01,2.138673E+02,1.143746E+02
-122.48870,37.29316,3.748173E+01,2.116226E+01,2.089150E+02,1.123076E+02
-122.48869,37.30215,3.842939E+01,2.141160E+01,2.255947E+02,1.210100E+02
-122.48869,37.31114,3.820332E+01,2.197081E+01,2.350839E+02,1.163733E+02
